model,dataset,fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled
VIRCHOW2,PCam,0.01,42,1.3570566856621828,0.05918745518146426,0.03950290107874258,0.01968455410272168,0.9779286418799439,0.05802772401093369,0.05605301537291024
VIRCHOW2,PCam,0.01,123,1.3541792883272439,0.06424958581280145,0.03777154415965112,0.026478041653150326,0.9794832542340436,0.05685064614072944,0.05438035597759284
VIRCHOW2,PCam,0.01,456,1.3435719000412976,0.06527875563300513,0.03795811464384574,0.027320640989159387,0.9802300297888796,0.057029454541162886,0.0545691495035084
VIRCHOW2,PCam,0.05,42,1.793401599696481,0.03914345223660522,0.03592274825071369,0.0032207039858915265,0.9816065695089171,0.05114866837779764,0.05124264930578487
VIRCHOW2,PCam,0.05,123,1.8290658727132172,0.03855931440437425,0.03485448962213679,0.0037048247822374578,0.983303800902837,0.04889050210350756,0.048854253477029645
VIRCHOW2,PCam,0.05,456,1.8193575362915992,0.03982146770376649,0.03661762661239119,0.003203841091375302,0.9840014584961216,0.04853844866500563,0.048470329900859706
VIRCHOW2,PCam,0.1,42,1.9790640103681685,0.03267195546377993,0.03183081894784567,0.0008411365159342599,0.9823000436004331,0.049321415304279914,0.04934044956977943
VIRCHOW2,PCam,0.1,123,1.9722252833364637,0.033338462880372635,0.03290805654919258,0.00043040633118005683,0.9849982718561416,0.04609886823604553,0.04609805612987835
VIRCHOW2,PCam,0.1,456,2.0027239674234165,0.034017847305391674,0.034003082267275955,1.4765038115718832e-05,0.9853825579723169,0.04594194133157321,0.0459414858514157
VIRCHOW2,PCam,0.25,42,2.1728862887811666,0.03054368143006311,0.033095171195526435,-0.002551489765463325,0.985019837565616,0.04678630037362684,0.0466126929817041
VIRCHOW2,PCam,0.25,123,2.173571521192118,0.02939843013560982,0.031101617767571633,-0.0017031876319618111,0.9859104205280937,0.04503131292532875,0.044896349740187205
VIRCHOW2,PCam,0.25,456,2.186269002734041,0.029478213090790444,0.03218738914025459,-0.0027091760494641452,0.9859206613529935,0.04518783581191835,0.045045015549472565
VIRCHOW2,PCam,0.5,42,2.380403987725497,0.03219009443411156,0.03372133126974834,-0.0015312368356367803,0.9857740562518268,0.04625190572907677,0.04580157865831314
VIRCHOW2,PCam,0.5,123,2.313389272698321,0.031260710215931777,0.034237816738284105,-0.0029771065223523283,0.9864569505169637,0.04512324485280299,0.04478148775263524
VIRCHOW2,PCam,0.5,456,2.3245571027962586,0.031534636452012405,0.034094545068720186,-0.0025599086167077817,0.9860922296290072,0.045473736139138354,0.045115316793578816
VIRCHOW2,PCam,1.0,42,2.4809898479286354,0.033963787556403745,0.03510210560364612,-0.001138318047242376,0.9857326123896911,0.0466627797440745,0.04601473570126059
VIRCHOW2,PCam,1.0,123,2.480989847924674,0.03396378755640847,0.0351021056035965,-0.0011383180471880305,0.9857326123896911,0.04666277974407376,0.04601473570125975
VIRCHOW2,PCam,1.0,456,2.480989847933915,0.03396378755642426,0.03510210560371012,-0.001138318047285855,0.9857326123896912,0.04666277974407123,0.046014735701255374
