model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
VIRCHOW2,SPIDER-Breast,0.01,687,42,0.9884298779520293,0.7514859293083204,0.35184004635706667,0.02340684806952621
VIRCHOW2,SPIDER-Breast,0.01,687,123,0.9869120483875398,0.7120472473655931,0.3309406206068443,0.024999580627925306
VIRCHOW2,SPIDER-Breast,0.01,687,456,0.9874953963229007,0.7589130103168,0.3861198687591958,0.026012927862700604
VIRCHOW2,SPIDER-Breast,0.05,3436,42,0.99341282122209,0.830924765479057,0.17635077200345675,0.012977137344456989
VIRCHOW2,SPIDER-Breast,0.05,3436,123,0.9927452750284963,0.8227377920262003,0.1715978519423342,0.013772663196378607
VIRCHOW2,SPIDER-Breast,0.05,3436,456,0.9931157195980062,0.828409625232286,0.1734129235017893,0.013202075711239596
VIRCHOW2,SPIDER-Breast,0.1,6873,42,0.9942925863601784,0.8471870567562095,0.12306591687414219,0.01082564045993805
VIRCHOW2,SPIDER-Breast,0.1,6873,123,0.9936786767126401,0.8321387898870057,0.11350153749919317,0.011567552436357879
VIRCHOW2,SPIDER-Breast,0.1,6873,456,0.9940703193067011,0.8436085329833742,0.12159152363566922,0.01100527147839986
VIRCHOW2,SPIDER-Breast,0.25,17182,42,0.9949789076102797,0.8607154344830875,0.07383723235824535,0.009196869580609739
VIRCHOW2,SPIDER-Breast,0.25,17182,123,0.994842402251574,0.8545667714393052,0.06848543523251513,0.0093567406248279
VIRCHOW2,SPIDER-Breast,0.25,17182,456,0.994863516039321,0.8556355893597607,0.072596946171753,0.009422805410156717
VIRCHOW2,SPIDER-Breast,0.5,34365,42,0.9952890093761843,0.8665973291948667,0.04573119139803141,0.008441417123586521
VIRCHOW2,SPIDER-Breast,0.5,34365,123,0.9952652205935277,0.8693385228715554,0.04783927346710807,0.00836429739531395
VIRCHOW2,SPIDER-Breast,0.5,34365,456,0.9951924728081261,0.8659174029651029,0.0453363035709618,0.008468365993340506
VIRCHOW2,SPIDER-Breast,1.0,68730,42,0.995429404069162,0.8730482560692433,0.026680094966652787,0.007910403948066778
VIRCHOW2,SPIDER-Breast,1.0,68730,123,0.995429404069162,0.8730482560692433,0.02668009491836972,0.007910403955023756
VIRCHOW2,SPIDER-Breast,1.0,68730,456,0.995429404069162,0.8730482560692433,0.026680095281372888,0.007910403902693243
