model,dataset,fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled
VIRCHOW2,SPIDER-Breast,0.01,42,0.3878211629026939,0.35184004635706667,0.03420613081851151,0.31763391553855513,0.9884298779520293,0.02340684806952621,0.015175770754451347
VIRCHOW2,SPIDER-Breast,0.01,123,0.3751298360686398,0.3309406206068443,0.056779166504469056,0.27416145410237525,0.9869120483875398,0.024999580627925306,0.017529589978292254
VIRCHOW2,SPIDER-Breast,0.01,456,0.3551847600366258,0.3861198687591958,0.026111545139231113,0.3600083236199647,0.9874953963229007,0.026012927862700604,0.015989361859550567
VIRCHOW2,SPIDER-Breast,0.05,42,0.4744825315392594,0.17635077200345675,0.024310908526741427,0.15203986347671533,0.99341282122209,0.012977137344456989,0.010591694865365368
VIRCHOW2,SPIDER-Breast,0.05,123,0.480902267611606,0.1715978519423342,0.030863939306480632,0.14073391263585358,0.9927452750284963,0.013772663196378607,0.01158081035801614
VIRCHOW2,SPIDER-Breast,0.05,456,0.47327562137858836,0.1734129235017893,0.028301075437293,0.1451118480644963,0.9931157195980062,0.013202075711239596,0.01092861276601964
VIRCHOW2,SPIDER-Breast,0.1,42,0.5211874319023712,0.12306591687414219,0.023228663074453784,0.0998372537996884,0.9942925863601784,0.01082564045993805,0.009551809322229543
VIRCHOW2,SPIDER-Breast,0.1,123,0.5288896968396527,0.11350153749919317,0.03203376997023719,0.08146776752895599,0.9936786767126401,0.011567552436357879,0.010631257690239664
VIRCHOW2,SPIDER-Breast,0.1,456,0.5294696013703325,0.12159152363566922,0.02364918374850526,0.09794233988716396,0.9940703193067011,0.01100527147839986,0.009787268380047016
VIRCHOW2,SPIDER-Breast,0.25,42,0.5735190516161351,0.07383723235824535,0.024982404350839888,0.04885482800740547,0.9949789076102797,0.009196869580609739,0.008751907463521925
VIRCHOW2,SPIDER-Breast,0.25,123,0.5890403633970951,0.06848543523251513,0.026077795519155376,0.04240763971335976,0.994842402251574,0.0093567406248279,0.008975555185163953
VIRCHOW2,SPIDER-Breast,0.25,456,0.5824452558712662,0.072596946171753,0.026367272147875775,0.04622967402387722,0.994863516039321,0.009422805410156717,0.009017713563540341
VIRCHOW2,SPIDER-Breast,0.5,42,0.6179848313324089,0.04573119139803141,0.026181418414456432,0.01954977298357498,0.9952890093761843,0.008441417123586521,0.008329136910250215
VIRCHOW2,SPIDER-Breast,0.5,123,0.6254113167403941,0.04783927346710807,0.02316960149821146,0.02466967196889661,0.9952652205935277,0.00836429739531395,0.008206839762200234
VIRCHOW2,SPIDER-Breast,0.5,456,0.6232491364767846,0.0453363035709618,0.025370429963803693,0.019965873607158107,0.9951924728081261,0.008468365993340506,0.008356571564188703
VIRCHOW2,SPIDER-Breast,1.0,42,0.6563066400690767,0.026680094966652787,0.02706353437161692,-0.00038343940496413445,0.995429404069162,0.007910403948066778,0.007984262809528485
VIRCHOW2,SPIDER-Breast,1.0,123,0.6563066403122539,0.02668009491836972,0.027063534368247405,-0.0003834394498776865,0.995429404069162,0.007910403955023756,0.007984262819161987
VIRCHOW2,SPIDER-Breast,1.0,456,0.656306638495858,0.026680095281372888,0.02706353439208298,-0.0003834391107100932,0.995429404069162,0.007910403902693243,0.00798426274668358
