dataset,model,thr_0.4,thr_0.5,thr_0.6,thr_0.7,thr_0.8
PCam,CLIP,0.01,0.01,0.01,0.01,0.01
PCam,PLIP,0.01,0.01,0.01,0.01,0.01
PCam,CONCH,0.01,0.01,0.01,0.01,0.01
PCam,VIRCHOW2,0.01,0.01,0.01,0.01,0.01
PCam,UNI,0.01,0.01,0.01,0.01,0.01
PCam,GigaPath,0.01,0.01,0.01,0.01,0.01
PCam,H-Optimus-0,0.01,0.01,0.01,0.01,0.01
PCam,MIDNIGHT,0.01,0.01,0.01,0.01,0.01
BRACS,CLIP,1.0,,,,
BRACS,PLIP,0.25,,,,
BRACS,CONCH,0.05,0.1,,,
BRACS,VIRCHOW2,0.05,0.1,,,
BRACS,UNI,0.05,0.1,,,
BRACS,GigaPath,0.05,0.1,1.0,,
BRACS,H-Optimus-0,0.05,0.25,,,
BRACS,MIDNIGHT,0.1,0.25,,,
CRC,CLIP,0.01,0.01,0.01,0.01,0.01
CRC,PLIP,0.01,0.01,0.01,0.01,0.01
CRC,CONCH,0.01,0.01,0.01,0.01,0.01
CRC,VIRCHOW2,0.01,0.01,0.01,0.01,0.01
CRC,UNI,0.01,0.01,0.01,0.01,0.01
CRC,GigaPath,0.01,0.01,0.01,0.01,0.01
CRC,H-Optimus-0,0.01,0.01,0.01,0.01,0.01
CRC,MIDNIGHT,0.01,0.01,0.01,0.01,0.01
MHIST,CLIP,0.25,0.5,1.0,,
MHIST,PLIP,0.25,0.5,1.0,,
MHIST,CONCH,0.25,0.25,0.5,1.0,
MHIST,VIRCHOW2,0.1,0.25,0.25,0.5,1.0
MHIST,UNI,0.1,0.25,0.25,0.5,
MHIST,GigaPath,0.1,0.25,0.25,0.5,
MHIST,H-Optimus-0,0.1,0.25,0.25,0.5,
MHIST,MIDNIGHT,0.25,1.0,,,
LungHist700,CLIP,,,,,
LungHist700,PLIP,0.01,0.5,,,
LungHist700,CONCH,0.01,0.1,0.5,1.0,
LungHist700,VIRCHOW2,0.1,0.25,0.25,0.5,
LungHist700,UNI,0.25,0.25,0.5,1.0,
LungHist700,GigaPath,0.25,0.5,0.5,1.0,
LungHist700,H-Optimus-0,0.25,0.5,0.5,1.0,
LungHist700,MIDNIGHT,0.1,0.5,1.0,,
SPIDER-Breast,CLIP,0.05,0.1,0.5,,
SPIDER-Breast,PLIP,0.01,0.01,0.05,0.25,
SPIDER-Breast,CONCH,0.01,0.01,0.01,0.05,
SPIDER-Breast,VIRCHOW2,0.01,0.01,0.01,0.01,0.05
SPIDER-Breast,UNI,0.01,0.01,0.01,0.01,0.05
SPIDER-Breast,GigaPath,0.01,0.01,0.01,0.01,0.05
SPIDER-Breast,H-Optimus-0,0.01,0.01,0.01,0.01,0.01
SPIDER-Breast,MIDNIGHT,0.01,0.01,0.05,0.1,1.0
