model,dataset,fraction,C,auroc,ece
CLIP,MHIST,0.01,0.01,0.6380199891950297,0.09068947591268282
CLIP,MHIST,0.01,0.1,0.6379569602016928,0.09066266742460878
CLIP,MHIST,0.01,1.0,0.6378714208535926,0.1284592814660902
CLIP,MHIST,0.01,10.0,0.6372261240170478,0.11057573947420508
CLIP,MHIST,0.01,100.0,0.6327150489225043,0.15641859551855236
CLIP,MHIST,0.1,0.01,0.7819737079056366,0.08554688468785149
CLIP,MHIST,0.1,0.1,0.7834128699201632,0.09901276376151645
CLIP,MHIST,0.1,1.0,0.794968185365268,0.1648801785353717
CLIP,MHIST,0.1,10.0,0.8216249474758389,0.09414134885898891
CLIP,MHIST,0.1,100.0,0.8286706885167177,0.06140630866219566
CLIP,MHIST,1.0,0.01,0.8104988294615523,0.09028236054154677
CLIP,MHIST,1.0,0.1,0.8210877003421575,0.1687194211691181
CLIP,MHIST,1.0,1.0,0.8535251215559155,0.11701799192425609
CLIP,MHIST,1.0,10.0,0.8748334233747523,0.05099146446434354
CLIP,MHIST,1.0,100.0,0.8717810192688638,0.045599330613613744
CLIP,LungHist700,0.01,0.01,0.5937151482409196,0.07298682541905123
CLIP,LungHist700,0.01,0.1,0.5936424259599673,0.07587523353373743
CLIP,LungHist700,0.01,1.0,0.5935957686867618,0.06664214209354456
CLIP,LungHist700,0.01,10.0,0.5973560827784512,0.050778974926369076
CLIP,LungHist700,0.01,100.0,0.6028722451426409,0.0834417096224483
CLIP,LungHist700,0.1,0.01,0.7816509441323604,0.03178088994484002
CLIP,LungHist700,0.1,0.1,0.7816120030355652,0.03173913889918715
CLIP,LungHist700,0.1,1.0,0.7837765167093155,0.04089897271958664
CLIP,LungHist700,0.1,10.0,0.7922617574184875,0.10370472499147214
CLIP,LungHist700,0.1,100.0,0.8063032482585929,0.11082093713700047
CLIP,LungHist700,1.0,0.01,0.814138639274019,0.02909353944987428
CLIP,LungHist700,1.0,0.1,0.8167593571894615,0.030036863097810867
CLIP,LungHist700,1.0,1.0,0.8354478917641995,0.1092982121133295
CLIP,LungHist700,1.0,10.0,0.8929861767429298,0.19788299921288255
CLIP,LungHist700,1.0,100.0,0.9358901189426673,0.137317463512715
CLIP,BRACS,0.01,0.01,0.6898039590278531,0.07352180278564703
CLIP,BRACS,0.01,0.1,0.689887630002481,0.07343044402430186
CLIP,BRACS,0.01,1.0,0.692657496489153,0.04768694801693243
CLIP,BRACS,0.01,10.0,0.7010636131442082,0.0881087777917489
CLIP,BRACS,0.01,100.0,0.7045647663727909,0.09085399983855717
CLIP,BRACS,0.1,0.01,0.7488332302551761,0.05752014289197044
CLIP,BRACS,0.1,0.1,0.7528943989956979,0.0643541596977608
CLIP,BRACS,0.1,1.0,0.768069999723738,0.13915147653651452
CLIP,BRACS,0.1,10.0,0.7953457108722014,0.06394026449387906
CLIP,BRACS,0.1,100.0,0.8099832377668355,0.10394524376114393
CLIP,BRACS,1.0,0.01,0.76172001080981,0.06823386385229614
CLIP,BRACS,1.0,0.1,0.7792315996168183,0.15115445884767775
CLIP,BRACS,1.0,1.0,0.8137754803415936,0.08708370478272053
CLIP,BRACS,1.0,10.0,0.8464918152479134,0.05931918119335372
CLIP,BRACS,1.0,100.0,0.8535479750670084,0.11551022594747067
PLIP,MHIST,0.01,0.01,0.70228104928267,0.0906426816083334
PLIP,MHIST,0.01,0.1,0.7025901914880844,0.08997984654994418
PLIP,MHIST,0.01,1.0,0.7036136622846509,0.14613791741905022
PLIP,MHIST,0.01,10.0,0.7077675730836185,0.11142242445141927
PLIP,MHIST,0.01,100.0,0.713875382676031,0.12242368173022279
PLIP,MHIST,0.1,0.01,0.763224083078216,0.08528156871322023
PLIP,MHIST,0.1,0.1,0.7662404706164837,0.13601448474782674
PLIP,MHIST,0.1,1.0,0.7793655081337415,0.13854353688691481
PLIP,MHIST,0.1,10.0,0.8038762830902214,0.06947699399578322
PLIP,MHIST,0.1,100.0,0.8112581787622307,0.05971401694641548
PLIP,MHIST,1.0,0.01,0.769723572843508,0.13429884736910452
PLIP,MHIST,1.0,0.1,0.7840086439762292,0.1473666831764693
PLIP,MHIST,1.0,1.0,0.8291644156311905,0.09103798199492485
PLIP,MHIST,1.0,10.0,0.8713443183864579,0.04936860733278368
PLIP,MHIST,1.0,100.0,0.8691923284710968,0.046537566966372595
PLIP,LungHist700,0.01,0.01,0.7614063615673755,0.29511350276148235
PLIP,LungHist700,0.01,0.1,0.7619464535970142,0.31295498378484155
PLIP,LungHist700,0.01,1.0,0.762461388680666,0.3074564829918449
PLIP,LungHist700,0.01,10.0,0.7668491312695802,0.23107660587899329
PLIP,LungHist700,0.01,100.0,0.7718613401186135,0.11167108779990055
PLIP,LungHist700,0.1,0.01,0.8648689565350969,0.03180263340885169
PLIP,LungHist700,0.1,0.1,0.8665161907891002,0.032221958927534496
PLIP,LungHist700,0.1,1.0,0.8760928273474713,0.1480847475646004
PLIP,LungHist700,0.1,10.0,0.8873890418067257,0.18613485729779966
PLIP,LungHist700,0.1,100.0,0.8853781268576038,0.10805793401091333
PLIP,LungHist700,1.0,0.01,0.8773659564814228,0.02935089261779536
PLIP,LungHist700,1.0,0.1,0.8923993706053127,0.13800840969507439
PLIP,LungHist700,1.0,1.0,0.9220359017533605,0.22444859618403692
PLIP,LungHist700,1.0,10.0,0.959048134242189,0.12727099024093017
PLIP,LungHist700,1.0,100.0,0.9733192043797126,0.10297628946734355
PLIP,BRACS,0.01,0.01,0.7221815689341383,0.07356458817680298
PLIP,BRACS,0.01,0.1,0.7227874701844428,0.07354454751563508
PLIP,BRACS,0.01,1.0,0.7284771416491291,0.06934924100573563
PLIP,BRACS,0.01,10.0,0.738762321015349,0.07050465568191037
PLIP,BRACS,0.01,100.0,0.7385226352253874,0.12539798498536456
PLIP,BRACS,0.1,0.01,0.803126687649696,0.057428580440242016
PLIP,BRACS,0.1,0.1,0.8080474413840983,0.14110745352363643
PLIP,BRACS,0.1,1.0,0.8239260648762793,0.14190945982954492
PLIP,BRACS,0.1,10.0,0.8417509485357995,0.05382064934543281
PLIP,BRACS,0.1,100.0,0.8374991202192718,0.15685369844094157
PLIP,BRACS,1.0,0.01,0.8111185697276978,0.15579423677438464
PLIP,BRACS,1.0,0.1,0.829913969179707,0.14936597841256594
PLIP,BRACS,1.0,1.0,0.856587673169057,0.05877719406460652
PLIP,BRACS,1.0,10.0,0.8749976104074891,0.07662862959757633
PLIP,BRACS,1.0,100.0,0.8780234996401699,0.14880938433276972
CONCH,MHIST,0.01,0.01,0.6393450987454229,0.09068336721827713
CONCH,MHIST,0.01,0.1,0.6393691097905035,0.09058011340809018
CONCH,MHIST,0.01,1.0,0.638273605858695,0.11865530210746422
CONCH,MHIST,0.01,10.0,0.6396707485443304,0.10402706823166256
CONCH,MHIST,0.01,100.0,0.6460156672069152,0.17858984244517717
