model,pair,lo,hi,delta,rises,monotone
CLIP,h0->h1,0.26377162886218497,0.0779017677671327,-0.18586986109505227,False,False
CLIP,h0->h2,0.10401121081546706,0.1028423313056232,-0.0011688795098438592,False,False
CLIP,h0->h3,0.2586284993928902,0.0610347366964388,-0.19759376269645137,False,False
CLIP,h0->h4,0.2145443101953263,0.36096573972852547,0.14642142953319917,True,True
CLIP,h1->h0,0.20075201102825002,0.0554775558508625,-0.14527445517738752,False,False
CLIP,h1->h2,0.1210053968124883,0.0411296749761944,-0.0798757218362939,False,False
CLIP,h1->h3,0.27205846703950115,0.0612686619058235,-0.21078980513367765,False,False
CLIP,h1->h4,0.10029836148436021,0.2808270482029582,0.18052868671859795,True,False
CLIP,h2->h0,0.13224456685926816,0.0923210001380147,-0.03992356672125347,False,False
CLIP,h2->h1,0.054904323473459804,0.1442315971829627,0.08932727370950289,True,True
CLIP,h2->h3,0.09993046596630473,0.10528518129347049,0.005354715327165763,True,False
CLIP,h2->h4,0.13051188054112667,0.1187250184892072,-0.011786862051919464,False,False
CLIP,h3->h0,0.240093852938162,0.0937809818002542,-0.1463128711379078,False,False
CLIP,h3->h1,0.2703459152861712,0.23848241649709032,-0.031863498789080874,False,False
CLIP,h3->h2,0.1228484386035764,0.23192577377218196,0.10907733516860556,True,False
CLIP,h3->h4,0.17814956878720867,0.4619809610369197,0.28383139224971105,True,True
CLIP,h4->h0,0.21994509881801205,0.18741853265718636,-0.03252656616082569,False,False
CLIP,h4->h1,0.11146863713793538,0.3446827151721303,0.23321407803419492,True,True
CLIP,h4->h2,0.2416834231405963,0.1583577776465314,-0.0833256454940649,False,False
CLIP,h4->h3,0.1485285353168855,0.2834770022244651,0.13494846690757958,True,True
CONCH,h0->h1,0.1831887260828947,0.017647381269645,-0.1655413448132497,False,False
CONCH,h0->h2,0.19907892774620942,0.0433614402547041,-0.15571748749150532,False,False
CONCH,h0->h3,0.1691996465764086,0.0173593638341791,-0.1518402827422295,False,False
CONCH,h0->h4,0.2239761948736337,0.1302033414581548,-0.09377285341547892,False,False
CONCH,h1->h0,0.15757720998343924,0.0208079964181991,-0.13676921356524013,False,False
CONCH,h1->h2,0.20845137301820774,0.055339976512687204,-0.15311139650552053,False,False
CONCH,h1->h3,0.17405038876642406,0.0190264968986767,-0.15502389186774737,False,False
CONCH,h1->h4,0.19789799482737844,0.1190177767469947,-0.07888021808038374,False,False
CONCH,h2->h0,0.16295489759568726,0.010531653327374801,-0.15242324426831247,False,False
CONCH,h2->h1,0.1953162021920202,0.0779788927569045,-0.1173373094351157,False,False
CONCH,h2->h3,0.17869519592884142,0.0462257326759748,-0.13246946325286663,False,False
CONCH,h2->h4,0.22227120925022245,0.0297565355646035,-0.19251467368561895,False,False
CONCH,h3->h0,0.1640573705800186,0.0194969925955836,-0.144560377984435,False,False
CONCH,h3->h1,0.17811824817067237,0.0346717388928501,-0.14344650927782227,False,False
CONCH,h3->h2,0.2128204728817463,0.0349012664226468,-0.1779192064590995,False,False
CONCH,h3->h4,0.19221735264820672,0.0863971910073777,-0.10582016164082902,False,False
