hospital,fraction,n_train,val_full,val_prop,total_full,total_prop,val_share_full
0,0.01,140,3000,30,3140,170,0.9554140127388535
0,0.05,700,3000,150,3700,850,0.8108108108108109
0,0.1,1400,3000,300,4400,1700,0.6818181818181818
0,0.25,3500,3000,750,6500,4250,0.46153846153846156
0,0.5,7000,3000,1500,10000,8500,0.3
0,1.0,14000,3000,3000,17000,17000,0.17647058823529413
1,0.01,140,3000,30,3140,170,0.9554140127388535
1,0.05,700,3000,150,3700,850,0.8108108108108109
1,0.1,1400,3000,300,4400,1700,0.6818181818181818
1,0.25,3500,3000,750,6500,4250,0.46153846153846156
1,0.5,7000,3000,1500,10000,8500,0.3
1,1.0,14000,3000,3000,17000,17000,0.17647058823529413
2,0.01,140,3000,30,3140,170,0.9554140127388535
2,0.05,700,3000,150,3700,850,0.8108108108108109
2,0.1,1400,3000,300,4400,1700,0.6818181818181818
2,0.25,3500,3000,750,6500,4250,0.46153846153846156
2,0.5,7000,3000,1500,10000,8500,0.3
2,1.0,14000,3000,3000,17000,17000,0.17647058823529413
3,0.01,140,3000,30,3140,170,0.9554140127388535
3,0.05,700,3000,150,3700,850,0.8108108108108109
3,0.1,1400,3000,300,4400,1700,0.6818181818181818
3,0.25,3500,3000,750,6500,4250,0.46153846153846156
3,0.5,7000,3000,1500,10000,8500,0.3
3,1.0,14000,3000,3000,17000,17000,0.17647058823529413
4,0.01,140,3000,30,3140,170,0.9554140127388535
4,0.05,700,3000,150,3700,850,0.8108108108108109
4,0.1,1400,3000,300,4400,1700,0.6818181818181818
4,0.25,3500,3000,750,6500,4250,0.46153846153846156
4,0.5,7000,3000,1500,10000,8500,0.3
4,1.0,14000,3000,3000,17000,17000,0.17647058823529413
