model,src,tgt,pair,fraction,seed,n_train,n_val_full,n_val_prop,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature_src,ece_scaled_fixed,ece_scaled_adaptive,temperature_prop,ece_scaled_prop,degeneracy_share,degenerate
CLIP,0,1,h0->h1,0.01,42,140,3000,30,0.9192564444444444,0.8198566703183616,0.193843975253828,0.2648981063851612,0.2640108892443134,0.2719822327763007,0.0841698696159615,0.0841698696159614,0.3077506056190002,0.083024437982462,0.5796666666666667,False
CLIP,0,1,h0->h1,0.01,123,140,3000,30,0.9377737777777778,0.834532142159469,0.1917864331972741,0.287149524269476,0.2844455860340421,0.2310537733218016,0.1071685167541862,0.1071685167541862,0.1268651301017954,0.1173494658256314,0.6043333333333333,False
CLIP,0,1,h0->h1,0.01,456,140,3000,30,0.9103693333333336,0.7933744322446807,0.1918655487552785,0.2392672559319177,0.251121831214447,0.3230543061129692,0.1234508668355726,0.1234508668355725,0.3476882915212214,0.1223106332182396,0.6196666666666667,False
CLIP,0,1,h0->h1,0.05,42,700,3000,150,0.9445684444444444,0.8461995988176552,0.1390587682818087,0.2011208356536899,0.2000609520103207,0.5764638559356456,0.0968733883127955,0.0968733883127955,0.5873089272826545,0.0967516132170949,0.5976666666666667,False
CLIP,0,1,h0->h1,0.05,123,700,3000,150,0.9469186666666668,0.835005469890531,0.1423793079357301,0.2095957627461824,0.2107021735472387,0.5885668628279898,0.123493376630153,0.1234933766301529,0.4908415250282471,0.1253826919489483,0.627,False
CLIP,0,1,h0->h1,0.05,456,700,3000,150,0.9463795555555556,0.8556963690521735,0.1351925989322311,0.1965288918808881,0.198636585014641,0.5830394191788822,0.081645059764548,0.081645059764548,0.5159806312168057,0.081935720269777,0.582,False
CLIP,0,1,h0->h1,0.1,42,1400,3000,300,0.9490671111111112,0.8571678067663027,0.1210253772568557,0.164594567789652,0.1682464624026109,0.7269131214365184,0.0892089201737666,0.0892089201737666,0.706276745549814,0.0894178052772466,0.5903333333333334,False
CLIP,0,1,h0->h1,0.1,123,1400,3000,300,0.9487426666666668,0.8566605726847543,0.1221647213612044,0.1675486248349969,0.1684987663714507,0.7461444918989623,0.0949602871242535,0.0949602871242535,0.6199069738833223,0.0958585419613027,0.5966666666666667,False
CLIP,0,1,h0->h1,0.1,456,1400,3000,300,0.9505208888888887,0.8636895326543028,0.1196541274491145,0.1662164843953207,0.1671733304238081,0.7301458693534185,0.083869315555744,0.083869315555744,0.6939880425992062,0.0842526843858789,0.5846666666666667,False
CLIP,0,1,h0->h1,0.25,42,3500,3000,750,0.950612888888889,0.8637202797202796,0.1067522639685217,0.123436771117442,0.1236698128807106,0.9464598707977604,0.0824541726420679,0.082454172642068,1.0002054431265064,0.0819968993878146,0.5833333333333334,False
CLIP,0,1,h0->h1,0.25,123,3500,3000,750,0.95312,0.8696887123513997,0.1037324315723136,0.1242505830757634,0.1249182708947543,0.9503363328970524,0.0754684886744896,0.0754684886744896,0.8709216189562028,0.0758282011213668,0.5703333333333334,False
CLIP,0,1,h0->h1,0.25,456,3500,3000,750,0.9518457777777778,0.8647647224964276,0.1062013727209637,0.1258029389575285,0.1238137995410606,0.954244345554829,0.0813041453109528,0.0813041453109528,0.8893080788234263,0.0816972432639499,0.5816666666666667,False
CLIP,0,1,h0->h1,0.5,42,7000,3000,1500,0.954196888888889,0.8727449057776492,0.0966741305807055,0.0974974476167411,0.0977265080175616,1.0649899277652914,0.0691471121182969,0.0691733156581179,1.0474231080329026,0.0692521318735423,0.568,False
CLIP,0,1,h0->h1,0.5,123,7000,3000,1500,0.955156,0.8741071428571429,0.0960653591086864,0.0989127223742602,0.0995439108791838,1.080149618841975,0.0690872535928438,0.0690872535928438,1.0826440553473191,0.0690762648190276,0.5666666666666667,False
CLIP,0,1,h0->h1,0.5,456,7000,3000,1500,0.9558937777777778,0.8700051953250116,0.0957662657701887,0.1004057814587832,0.0996601825490625,1.0908378278089246,0.0689265806488559,0.0691090283939387,1.0790826402344549,0.0689946567109703,0.5713333333333334,False
CLIP,0,1,h0->h1,1.0,42,14000,3000,3000,0.9568906666666666,0.8800130347956628,0.0891490282603535,0.0779017677671327,0.0745140016598393,1.1772898861842764,0.0540399576676728,0.0543029595871993,1.1772898861842764,0.0540399576676728,0.5516666666666666,False
CLIP,0,1,h0->h1,1.0,123,14000,3000,3000,0.9568906666666666,0.8800130347956628,0.0891490282603535,0.0779017677671327,0.0745140016598393,1.1772898861842764,0.0540399576676728,0.0543029595871993,1.1772898861842764,0.0540399576676728,0.5516666666666666,False
CLIP,0,1,h0->h1,1.0,456,14000,3000,3000,0.9568906666666666,0.8800130347956628,0.0891490282603535,0.0779017677671327,0.0745140016598393,1.1772898861842764,0.0540399576676728,0.0543029595871993,1.1772898861842764,0.0540399576676728,0.5516666666666666,False
CLIP,0,2,h0->h2,0.01,42,140,3000,30,0.6884079999999999,0.6397713471287068,0.2295770655778114,0.0900925936104695,0.0908604412808338,0.2719822327763007,0.1721865764923336,0.1726053975959487,0.3077506056190002,0.1532554025482721,0.5843333333333334,False
CLIP,0,2,h0->h2,0.01,123,140,3000,30,0.77744,0.703326872451889,0.2235150187477612,0.1405736617205292,0.1523733824640362,0.2310537733218016,0.0971390555731006,0.0944246512239548,0.1268651301017954,0.1729523884599011,0.5046666666666667,False
CLIP,0,2,h0->h2,0.01,456,140,3000,30,0.6528053333333333,0.6109432260202782,0.2331378689138009,0.0813673771154025,0.0878041730336436,0.3230543061129692,0.190903968289616,0.1888336453659318,0.3476882915212214,0.1804650648334729,0.5836666666666667,False
CLIP,0,2,h0->h2,0.05,42,700,3000,150,0.8832297777777776,0.8039968639498232,0.170976547885207,0.1720532904961565,0.169962023482531,0.5764638559356456,0.0373999815231739,0.0370927747072502,0.5873089272826545,0.0382469832293868,0.504,False
CLIP,0,2,h0->h2,0.05,123,700,3000,150,0.8978146666666666,0.8250984114053226,0.167831288267147,0.1839451081970767,0.1923831119261144,0.5885668628279898,0.0473109730640833,0.0477539781433725,0.4908415250282471,0.0473532948837683,0.557,False
