model,pair,id_auroc,ood_auroc,drop
CLIP,PCam->MHIST,0.9166,0.4839,0.4326
CLIP,MHIST->PCam,0.8535,0.6281,0.2254
CLIP,CRC->BRACS,0.9976,0.6608,0.3368
CLIP,BRACS->CRC,0.8138,0.5265,0.2873
PLIP,PCam->MHIST,0.9524,0.5479,0.4044
PLIP,MHIST->PCam,0.8292,0.575,0.2542
PLIP,CRC->BRACS,0.9992,0.6132,0.386
PLIP,BRACS->CRC,0.8566,0.4343,0.4223
CONCH,PCam->MHIST,0.9657,0.6333,0.3325
CONCH,MHIST->PCam,0.851,0.6955,0.1555
CONCH,CRC->BRACS,0.9994,0.4285,0.5709
CONCH,BRACS->CRC,0.9047,0.24,0.6647
VIRCHOW2,PCam->MHIST,0.9857,0.5845,0.4012
VIRCHOW2,MHIST->PCam,0.9158,0.6848,0.231
VIRCHOW2,CRC->BRACS,0.9999,0.6347,0.3652
VIRCHOW2,BRACS->CRC,0.9038,0.7456,0.1582
UNI,PCam->MHIST,0.9786,0.4419,0.5367
UNI,MHIST->PCam,0.8856,0.5894,0.2963
UNI,CRC->BRACS,0.9999,0.5233,0.4767
UNI,BRACS->CRC,0.9013,0.4013,0.5
GigaPath,PCam->MHIST,0.9799,0.5884,0.3915
GigaPath,MHIST->PCam,0.8868,0.4865,0.4003
GigaPath,CRC->BRACS,0.9999,0.6024,0.3975
GigaPath,BRACS->CRC,0.8982,0.602,0.2962
H-Optimus-0,PCam->MHIST,0.9822,0.6448,0.3374
H-Optimus-0,MHIST->PCam,0.8848,0.5612,0.3236
H-Optimus-0,CRC->BRACS,1.0,0.5742,0.4257
H-Optimus-0,BRACS->CRC,0.8956,0.5009,0.3947
MIDNIGHT,PCam->MHIST,0.9534,0.4445,0.5089
MIDNIGHT,MHIST->PCam,0.7383,0.4305,0.3079
MIDNIGHT,CRC->BRACS,0.9997,0.4536,0.5461
MIDNIGHT,BRACS->CRC,0.8921,0.6222,0.2699
