dataset,model,fraction,degenerate,scope
BRACS,CLIP,0.01,0.3333333333333333,in-distribution
LungHist700,CLIP,0.05,1.0,in-distribution
LungHist700,CLIP,0.1,1.0,in-distribution
LungHist700,PLIP,0.05,0.3333333333333333,in-distribution
MHIST,CLIP,0.01,1.0,in-distribution
MHIST,CLIP,0.05,1.0,in-distribution
MHIST,CLIP,0.1,1.0,in-distribution
MHIST,CLIP,0.25,0.6666666666666666,in-distribution
MHIST,CONCH,0.01,1.0,in-distribution
MHIST,CONCH,0.05,1.0,in-distribution
MHIST,CONCH,0.1,1.0,in-distribution
MHIST,GigaPath,0.01,1.0,in-distribution
MHIST,GigaPath,0.05,1.0,in-distribution
MHIST,GigaPath,0.1,0.3333333333333333,in-distribution
MHIST,H-Optimus-0,0.01,1.0,in-distribution
MHIST,H-Optimus-0,0.05,0.6666666666666666,in-distribution
MHIST,MIDNIGHT,0.01,1.0,in-distribution
MHIST,MIDNIGHT,0.05,1.0,in-distribution
MHIST,MIDNIGHT,0.1,1.0,in-distribution
MHIST,PLIP,0.01,1.0,in-distribution
MHIST,PLIP,0.05,1.0,in-distribution
MHIST,PLIP,0.1,1.0,in-distribution
MHIST,UNI,0.01,1.0,in-distribution
MHIST,UNI,0.05,1.0,in-distribution
MHIST,UNI,0.1,0.6666666666666666,in-distribution
MHIST,VIRCHOW2,0.01,1.0,in-distribution
MHIST,VIRCHOW2,0.05,1.0,in-distribution
MHIST,VIRCHOW2,0.1,0.6666666666666666,in-distribution
BRACS->CRC,CLIP,0.01,1.0,ood
BRACS->CRC,CONCH,0.01,1.0,ood
BRACS->CRC,GigaPath,0.01,1.0,ood
BRACS->CRC,GigaPath,0.05,0.3333333333333333,ood
BRACS->CRC,H-Optimus-0,0.01,1.0,ood
BRACS->CRC,H-Optimus-0,0.05,0.6666666666666666,ood
BRACS->CRC,H-Optimus-0,0.1,0.6666666666666666,ood
BRACS->CRC,MIDNIGHT,0.01,1.0,ood
BRACS->CRC,MIDNIGHT,0.05,1.0,ood
BRACS->CRC,MIDNIGHT,0.1,0.3333333333333333,ood
BRACS->CRC,MIDNIGHT,0.25,0.3333333333333333,ood
BRACS->CRC,PLIP,0.01,1.0,ood
BRACS->CRC,PLIP,0.05,0.3333333333333333,ood
BRACS->CRC,UNI,0.01,1.0,ood
BRACS->CRC,UNI,0.05,1.0,ood
BRACS->CRC,UNI,0.1,0.3333333333333333,ood
