model,dataset,fraction,seed,n_train,n_classes,auroc,f1_macro,f1_binary,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,degenerate,forced_classes
CLIP,BRACS,0.01,42,33,7,0.6584071093220386,0.0343915343915343,,,0.0744083599294561,0.0951942381863049,4.478364803233118,0.020674796869456,0.052055239518929,0.9982456140350876,True,0
CLIP,BRACS,0.01,123,33,7,0.692112905595282,0.0965779532456194,,,0.0378337319462098,0.0709482017877297,2.5953204946681185,0.0051742205795689,0.05548416306205,0.8736842105263158,False,0
CLIP,BRACS,0.01,456,33,7,0.7274524745501383,0.0961109670728545,,,0.0308187521751312,0.079406426233022,2.4595905507038927,0.0129172195576474,0.0733331901029553,0.8789473684210526,False,0
CLIP,BRACS,0.05,42,180,7,0.7477439276935263,0.2720487132037658,,,0.1360535524440107,0.1545006918800744,0.6747738720972464,0.0960326332930404,0.1155088062886984,0.3456140350877193,False,0
CLIP,BRACS,0.05,123,180,7,0.7351810671160953,0.2720412858687823,,,0.1463481277093129,0.1594234954808501,0.6742217694933229,0.0877554294649352,0.1248491206653974,0.3578947368421052,False,0
CLIP,BRACS,0.05,456,180,7,0.7526273040315378,0.2748707198743326,,,0.1538098848427,0.1657546277693636,0.6469339194519826,0.1320157033428465,0.1411231982929117,0.3543859649122807,False,0
CLIP,BRACS,0.1,42,362,7,0.7730243822062656,0.2911878893014265,,,0.1486109790326525,0.1724932204151376,0.5667138800589229,0.0894672622477185,0.1040655795387883,0.3052631578947368,False,0
CLIP,BRACS,0.1,123,362,7,0.7575907598496107,0.2944525929061352,,,0.1376373109227795,0.1708949339963909,0.6031938735703349,0.0965569181707726,0.1175765898480261,0.3192982456140351,False,0
CLIP,BRACS,0.1,456,362,7,0.7735948571153378,0.2935253068969523,,,0.1312061396541115,0.1784309337073562,0.6308080776898516,0.111034888806111,0.1441851447578792,0.3087719298245614,False,0
CLIP,BRACS,0.25,42,912,7,0.79425036329706,0.329292360913737,,,0.1149924477279645,0.1378995051017842,0.6350836274950267,0.0650517069264638,0.0747941385658357,0.2824561403508772,False,0
CLIP,BRACS,0.25,123,912,7,0.7775493994197122,0.3426826999582138,,,0.1200934309630578,0.1496945553111604,0.6289245301373748,0.0767098932560517,0.0771735786315088,0.2684210526315789,False,0
CLIP,BRACS,0.25,456,912,7,0.7846693568753393,0.3335618696212344,,,0.1202809171097925,0.1329992789496137,0.6463768839113341,0.0744960616970442,0.0729294089714022,0.2894736842105263,False,0
CLIP,BRACS,0.5,42,1826,7,0.8031229249261697,0.3879333445552476,,,0.1153152380666368,0.1167018322750584,0.6854345202180275,0.0480735392515911,0.0652009528575996,0.2684210526315789,False,0
CLIP,BRACS,0.5,123,1826,7,0.7982259482418578,0.3895131766221281,,,0.0990204993169961,0.1082088277343023,0.6908943519468185,0.0512138013779026,0.0686607410757588,0.2684210526315789,False,0
