model,dataset,fraction,seed,budget,n_train,n_val,n_labels_total,n_classes,auroc,f1_macro,brier,ece_fixed,ece_adaptive,temperature,ece_scaled_fixed,ece_scaled_adaptive,degeneracy_share,forced_classes,forced_val_classes,degenerate
CLIP,BRACS,0.01,42,proportional,33,7,40,7,0.6584071093220386,0.0343915343915343,,0.0744083599294561,0.0951942381863049,3.882564817190495,0.0229678351971389,0.0495497296409188,0.9982456140350876,0,7,True
CLIP,BRACS,0.01,123,proportional,33,7,40,7,0.692112905595282,0.0965779532456194,,0.0378337319462098,0.0709482017877297,2.9295938871294385,0.0081707661541627,0.0550154048318507,0.8736842105263158,0,7,False
CLIP,BRACS,0.01,456,proportional,33,7,40,7,0.7274524745501383,0.0961109670728545,,0.0308187521751312,0.079406426233022,1.9129329711878145,0.0045010286156877,0.0750315710128407,0.8789473684210526,0,7,False
CLIP,BRACS,0.05,42,proportional,180,14,194,7,0.7477439276935263,0.2720487132037658,,0.1360535524440111,0.1545006918800744,0.5225213780892601,0.0810926624850634,0.0982129794384823,0.3456140350877193,0,0,False
CLIP,BRACS,0.05,123,proportional,180,14,194,7,0.7351810671160953,0.2720412858687823,,0.1463481277093129,0.1594234954808502,0.7050176350413909,0.0923909449958111,0.1279973721691279,0.3578947368421052,0,0,False
CLIP,BRACS,0.05,456,proportional,180,14,194,7,0.7526273040315378,0.2748707198743326,,0.1538098848427,0.1657546277693636,0.638577922486256,0.1308822847912241,0.1404276485572227,0.3543859649122807,0,0,False
CLIP,BRACS,0.1,42,proportional,362,28,390,7,0.7730243822062656,0.2911878893014265,,0.1486109790326524,0.1724932204151375,0.4831623759471533,0.0747914893408504,0.0846793576726682,0.3052631578947368,0,0,False
CLIP,BRACS,0.1,123,proportional,362,28,390,7,0.7575907598496107,0.2944525929061352,,0.1376373109227826,0.1708949339963925,0.6342299888561633,0.1140412433498073,0.1211788446207628,0.3192982456140351,0,0,False
CLIP,BRACS,0.1,456,proportional,362,28,390,7,0.7735948571153378,0.2935253068969523,,0.131206139654111,0.1784309337073558,0.6640669122883591,0.1132913300623997,0.1458849739725022,0.3087719298245614,0,0,False
CLIP,BRACS,0.25,42,proportional,912,75,987,7,0.79425036329706,0.329292360913737,,0.1149924477279707,0.1378995051017879,0.6635578310276359,0.0737643866138415,0.0812385219919859,0.2824561403508772,0,0,False
