dataset,fraction,n_train,val_original,val_proportional,total_original,total_proportional,val_share_original
PCam,0.01,2620,32768,326,35388,2946,0.9259636034814062
PCam,0.05,13106,32768,1637,45874,14743,0.7143043990059729
PCam,0.1,26214,32768,3275,58982,29489,0.5555593231833441
PCam,0.25,65536,32768,8191,98304,73727,0.3333333333333333
PCam,0.5,131072,32768,16383,163840,147455,0.2
PCam,1.0,262144,32768,32768,294912,294912,0.1111111111111111
BRACS,0.01,33,312,7,345,40,0.9043478260869565
BRACS,0.05,180,312,14,492,194,0.6341463414634146
BRACS,0.1,362,312,28,674,390,0.4629080118694362
BRACS,0.25,912,312,75,1224,987,0.2549019607843137
BRACS,0.5,1826,312,154,2138,1980,0.14593077642656688
BRACS,1.0,3657,312,312,3969,3969,0.07860922146636433
CRC,0.01,696,15000,144,15696,840,0.9556574923547401
CRC,0.05,3495,15000,745,18495,4240,0.8110300081103001
CRC,0.1,6996,15000,1497,21996,8493,0.6819421713038735
CRC,0.25,17496,15000,3746,32496,21242,0.46159527326440175
CRC,0.5,34998,15000,7496,49998,42494,0.3000120004800192
CRC,1.0,70000,15000,15000,85000,85000,0.17647058823529413
MHIST,0.01,18,326,3,344,21,0.9476744186046512
MHIST,0.05,92,326,16,418,108,0.7799043062200957
MHIST,0.1,184,326,32,510,216,0.6392156862745098
MHIST,0.25,461,326,81,787,542,0.4142312579415502
MHIST,0.5,924,326,163,1250,1087,0.2608
MHIST,1.0,1849,326,326,2175,2175,0.14988505747126438
LungHist700,0.01,7,103,7,110,14,0.9363636363636364
LungHist700,0.05,22,103,7,125,29,0.824
LungHist700,0.1,45,103,8,148,53,0.6959459459459459
LungHist700,0.25,118,103,24,221,142,0.4660633484162896
LungHist700,0.5,240,103,49,343,289,0.30029154518950435
LungHist700,1.0,483,103,103,586,586,0.1757679180887372
SPIDER-Breast,0.01,682,12128,113,12810,795,0.9467603434816549
SPIDER-Breast,0.05,3431,12128,600,15559,4031,0.7794845427084003
SPIDER-Breast,0.1,6868,12128,1203,18996,8071,0.6384502000421142
SPIDER-Breast,0.25,17176,12128,3027,29304,20203,0.4138684138684139
SPIDER-Breast,0.5,34361,12128,6060,46489,40421,0.2608789175934092
SPIDER-Breast,1.0,68730,12128,12128,80858,80858,0.14999134284795568
