model,dataset,fraction,auroc_old,ece_old,auroc_new,ece_new,d_auroc,d_ece
CLIP,BRACS,0.01,0.6942489976050666,0.10542660491440665,0.692657496489153,0.04768694801693237,-0.0015915011159136627,-0.05773965689747428
CLIP,BRACS,0.05,0.749851471267307,0.13699131433470588,0.7451840996137197,0.14540385499867456,-0.004667371653587327,0.008412540663968682
CLIP,BRACS,0.1,0.7634118963324905,0.11881308663692265,0.768069999723738,0.1391514765365145,0.004658103391247503,0.020338389899591844
CLIP,BRACS,0.25,0.7818683812258511,0.11910974403433965,0.7854897065307038,0.1184555986002716,0.003621325304852707,-0.0006541454340680403
CLIP,BRACS,0.5,0.7961214295193974,0.10464217710724387,0.7984852795990708,0.10586492118101297,0.002363850079673435,0.0012227440737690998
CLIP,BRACS,1.0,0.8137754803415936,0.0870837047793156,0.8137754803415936,0.0870837047827205,0.0,3.404901360859469e-12
CLIP,CRC,0.01,0.9770994330038499,0.36152668913971103,0.9778509391345048,0.3716042149743595,0.0007515061306548887,0.010077525834648493
CLIP,CRC,0.05,0.9895444216315319,0.2295305777176078,0.9892657163187518,0.22425435433741148,-0.0002787053127800698,-0.005276223380196315
CLIP,CRC,0.1,0.9926133522387571,0.1744512704520769,0.9924095809083866,0.17248435692864103,-0.00020377133037052797,-0.001966913523435865
CLIP,CRC,0.25,0.995353226725832,0.12356801567422755,0.9953330472645159,0.12409151927214228,-2.0179461316160996e-05,0.0005235035979147262
CLIP,CRC,0.5,0.9966765665307991,0.0942241289553845,0.9966694049915619,0.09361355328415473,-7.161539237188208e-06,-0.0006105756712297683
CLIP,CRC,1.0,0.9976325459696075,0.07183432036997589,0.9976336102290294,0.071816040302663,1.0642594219234525e-06,-1.8280067312886894e-05
CLIP,LungHist700,0.01,0.6350789770935871,0.14540839526099295,0.5935957686867618,0.0666421420935445,-0.04148320840682529,-0.07876625316744844
CLIP,LungHist700,0.05,0.7150317539732196,0.10333820625251709,0.7167410363061612,0.037439202721926405,0.0017092823329415419,-0.0658990035305907
CLIP,LungHist700,0.1,0.7445867510718508,0.15933710267690018,0.7837765167093155,0.0408989727195866,0.03918976563746468,-0.11843812995731359
CLIP,LungHist700,0.25,0.8080990499109554,0.11047181863529064,0.8175488703439499,0.08137838551740306,0.009449820432994471,-0.029093433117887577
CLIP,LungHist700,0.5,0.8263254777374573,0.07110711784476863,0.8238248850770452,0.0599325134752145,-0.0025005926604121376,-0.011174604369554128
CLIP,LungHist700,1.0,0.8354478917641995,0.1092982121133294,0.8354478917641995,0.1092982121133294,0.0,0.0
CLIP,MHIST,0.01,0.6539032955159373,0.15013008650633178,0.6378714208535926,0.12845928146609017,-0.01603187466234468,-0.021670805040241603
CLIP,MHIST,0.05,0.7860045620985653,0.15632978845145182,0.7678402064949877,0.15706095413440938,-0.018164355603577542,0.0007311656829575575
CLIP,MHIST,0.1,0.8141680172879525,0.17618919138288244,0.794968185365268,0.16488017853537165,-0.019199831922684485,-0.011309012847510791
CLIP,MHIST,0.25,0.834313284110691,0.1565658032920283,0.8244387418212379,0.15356606564652764,-0.009874542289453059,-0.0029997376455006552
CLIP,MHIST,0.5,0.8443784140704724,0.14100879491431664,0.8366198451287591,0.1330315146704281,-0.00775856894171334,-0.007977280243888552
CLIP,MHIST,1.0,0.8535251215559155,0.11701799192424811,0.8535251215559155,0.117017991924256,0.0,7.896461262646426e-15
CLIP,PCam,0.01,0.8811240910555439,0.08091328770655173,0.8808840606236917,0.0822048852751706,-0.00024003043185216733,0.0012915975686188658
CLIP,PCam,0.05,0.8990712118191869,0.0549628939463002,0.9001593407534351,0.05506694561580124,0.0010881289342481448,0.00010405166950104572
CLIP,PCam,0.1,0.9055140094341826,0.04870984123209917,0.9026683006339274,0.04418467885783553,-0.0028457088002551423,-0.00452516237426364
CLIP,PCam,0.25,0.9097178450829327,0.040477096396248365,0.9117764508117466,0.041246164271378234,0.0020586057288138893,0.0007690678751298696
CLIP,PCam,0.5,0.9135839868297753,0.041060241098982764,0.914129171988602,0.039583395698442436,0.0005451851588267331,-0.0014768454005403275
CLIP,PCam,1.0,0.9165845671518785,0.04063580368493753,0.9165845808112788,0.0406349207965251,1.365940027753254e-08,-8.828884124276182e-07
CLIP,SPIDER-Breast,0.01,0.8929578345361927,0.15382444896982184,0.8895534250114521,0.20887607437323444,-0.003404409524740637,0.0550516254034126
CLIP,SPIDER-Breast,0.05,0.9239862936183642,0.2530029447653342,0.9241040602027816,0.25473422898461434,0.00011776658441742249,0.0017312842192801492
CLIP,SPIDER-Breast,0.1,0.935494893620244,0.23133611400755016,0.9361118800433226,0.2311596472693084,0.0006169864230786137,-0.0001764667382417595
CLIP,SPIDER-Breast,0.25,0.9485581567222973,0.18827549013847347,0.949079599973908,0.18686022640271402,0.0005214432516107426,-0.0014152637357594533
