model,src,tgt,pair,fraction,seed,C,n_train,auroc,f1_macro,brier,ece_fixed,temperature_src,ece_scaled_fixed,degeneracy_share
CLIP,BRACS,CRC,BRACS->CRC,0.01,42,0.01,36,0.7208807614709551,0.4618254879448909,0.1697757619226264,0.2192054171787325,1.3072588718158216,0.1527334170952383,1.0
CLIP,BRACS,CRC,BRACS->CRC,0.01,42,0.1,36,0.7231225788211983,0.4618254879448909,0.1694716279169912,0.2188347541500476,1.2935296977489277,0.1502979025833638,1.0
CLIP,BRACS,CRC,BRACS->CRC,0.01,42,1.0,36,0.7304068880054395,0.4618254879448909,0.1666647595178769,0.215404732815681,1.1760118348718525,0.1274376744725006,1.0
CLIP,BRACS,CRC,BRACS->CRC,0.01,42,10.0,36,0.7589636186488596,0.4641300106675631,0.1469504814022895,0.1851996199655695,0.8009282049503258,0.03451758807132,0.9992666666666666
CLIP,BRACS,CRC,BRACS->CRC,0.01,42,100.0,36,0.7348980797628004,0.6094279429128134,0.1326858360600433,0.1310309974957466,1.4029153951895983,0.0844283545581035,0.8818
CLIP,BRACS,CRC,BRACS->CRC,0.01,123,0.01,36,0.7365306230928472,0.4618254879448909,0.1697548402541119,0.2192120155268919,1.3055854533613538,0.1525100397018169,1.0
CLIP,BRACS,CRC,BRACS->CRC,0.01,123,0.1,36,0.7380036285555405,0.4618254879448909,0.1692781961681353,0.2189171244893835,1.2776681176099884,0.1481504409498872,1.0
CLIP,BRACS,CRC,BRACS->CRC,0.01,123,1.0,36,0.7447773800567297,0.4618254879448909,0.1656150183734405,0.2168218018267817,1.0775549736460135,0.1125865972193369,1.0
CLIP,BRACS,CRC,BRACS->CRC,0.01,123,10.0,36,0.7695181620536735,0.4879532883355352,0.1550904477883066,0.21092419407714,0.6915854174611449,0.044207165670006,0.9748
CLIP,BRACS,CRC,BRACS->CRC,0.01,123,100.0,36,0.7379066280718889,0.584605512248529,0.159524156156637,0.1869913335263942,1.4462336090374053,0.1597460123935813,0.7649333333333334
CLIP,BRACS,CRC,BRACS->CRC,0.01,456,0.01,36,0.5231456223685379,0.4618254879448909,0.1697648961964502,0.2191600168724285,1.3060378384360185,0.152501277803077,1.0
CLIP,BRACS,CRC,BRACS->CRC,0.01,456,0.1,36,0.5238781822876022,0.4618254879448909,0.1694445070261943,0.2185515901133795,1.2806461290399695,0.1480731645696008,1.0
CLIP,BRACS,CRC,BRACS->CRC,0.01,456,1.0,36,0.5266452698519138,0.4618254879448909,0.1667510350615439,0.2121871582821339,1.119939218269314,0.1139538961290812,1.0
CLIP,BRACS,CRC,BRACS->CRC,0.01,456,10.0,36,0.5469456785609144,0.4735172330800746,0.1580625504208589,0.1623699637781312,1.0684376231299082,0.1105933214965982,0.9474666666666668
CLIP,BRACS,CRC,BRACS->CRC,0.01,456,100.0,36,0.5802976355976953,0.4864987492029234,0.1550597109518703,0.1178997103993272,2.1258048915907337,0.1132439997872193,0.9050666666666668
CLIP,BRACS,CRC,BRACS->CRC,0.1,42,0.01,364,0.4728615135375729,0.4618254879448909,0.1723732294151939,0.2249400602984208,1.2484569808585737,0.1524375124434629,1.0
CLIP,BRACS,CRC,BRACS->CRC,0.1,42,0.1,364,0.4727453831128474,0.4618254879448909,0.178545892936724,0.2372215040765675,1.1273831628049087,0.152614377227909,1.0
CLIP,BRACS,CRC,BRACS->CRC,0.1,42,1.0,364,0.4759271961172353,0.4273590778541058,0.2272957700544327,0.3102315170641353,0.9192721784740456,0.2634449435781562,0.706
CLIP,BRACS,CRC,BRACS->CRC,0.1,42,10.0,364,0.5474691964139684,0.4572170600038238,0.2692681371626004,0.352554776097964,1.0895436914302408,0.3482475634300974,0.5294
