probe,model,pair,fraction,seed,auroc,ece_fixed,ece_scaled_fixed,degeneracy_share
linear,CLIP,BRACS->CRC,0.01,42,0.7304068880054395,0.215404732815681,0.1274376744725763,1.0
linear,CLIP,BRACS->CRC,0.01,123,0.7447773800567297,0.2168218018267817,0.1125865972193369,1.0
linear,CLIP,BRACS->CRC,0.01,456,0.5266452698519138,0.212187158282134,0.1139538961290851,1.0
linear,CLIP,BRACS->CRC,0.05,42,0.5080332609802941,0.274484810865511,0.1994784944945507,0.9577333333333332
linear,CLIP,BRACS->CRC,0.05,123,0.5480676642079094,0.2416021138832463,0.1202713195216354,0.9840666666666666
linear,CLIP,BRACS->CRC,0.05,456,0.433651596167236,0.2556147392643079,0.1775567760601039,0.9148
linear,CLIP,BRACS->CRC,0.1,42,0.4759271961172353,0.3102315170641346,0.2634449435781524,0.706
linear,CLIP,BRACS->CRC,0.1,123,0.4769551748973117,0.279717384001505,0.2250708214507673,0.7116666666666667
linear,CLIP,BRACS->CRC,0.1,456,0.4846166067748613,0.2546946912404261,0.1745076838921202,0.8576666666666667
linear,CLIP,BRACS->CRC,0.25,42,0.4727252674687028,0.3159799205878613,0.2888542200008155,0.5765333333333333
linear,CLIP,BRACS->CRC,0.25,123,0.5282954828221891,0.2757161513028598,0.2306558022621101,0.6746666666666666
linear,CLIP,BRACS->CRC,0.25,456,0.4749627769314523,0.2763001106672645,0.2590154484747436,0.6637333333333333
linear,CLIP,BRACS->CRC,0.5,42,0.5120042205615032,0.2955530079825569,0.2754886060031683,0.6016
linear,CLIP,BRACS->CRC,0.5,123,0.5154498004060805,0.2932359152724876,0.2728199780437581,0.6000666666666666
linear,CLIP,BRACS->CRC,0.5,456,0.5070571228802273,0.2912525723588847,0.2743200596989565,0.6078
linear,CLIP,BRACS->CRC,1.0,42,0.5265005905456619,0.2999201632964821,0.2876526874006734,0.5762666666666667
linear,CLIP,BRACS->CRC,1.0,123,0.5265005905456619,0.2999201632964821,0.2876526874006734,0.5762666666666667
linear,CLIP,BRACS->CRC,1.0,456,0.5265005905456619,0.2999201632964821,0.2876526874006734,0.5762666666666667
linear,CLIP,CRC->BRACS,0.01,42,0.5599431130476883,0.071756651351698,0.0556523827303408,0.9947368421052633
linear,CLIP,CRC->BRACS,0.01,123,0.5581124425078674,0.0791774928594348,0.0583835154434367,0.9736842105263158
linear,CLIP,CRC->BRACS,0.01,456,0.5327856451222464,0.0820682821296592,0.0779590982647322,0.9824561403508772
linear,CLIP,CRC->BRACS,0.05,42,0.6062394093439845,0.1717579597378843,0.1782179384352285,0.6017543859649123
linear,CLIP,CRC->BRACS,0.05,123,0.5956487533284919,0.1980120556854482,0.22048645941707,0.5
linear,CLIP,CRC->BRACS,0.05,456,0.6193566932946017,0.2065977917165662,0.227000762806121,0.5210526315789473
linear,CLIP,CRC->BRACS,0.1,42,0.6333817477608327,0.1994955485783968,0.2160678028931395,0.5017543859649123
