probe,model,dataset,fraction,auroc,f1_macro,ece_fixed,ece_scaled_fixed,temperature,degeneracy_share
linear,H-Optimus-0,lunghist700,0.01,0.6467112790994168,0.2773874246728245,0.1658640851986705,0.1300491005065197,0.3189277100900481,0.3428571428571428
linear,H-Optimus-0,lunghist700,0.01,0.6093547785904437,0.242345870828843,0.0893999097000567,0.0628859042897247,0.2133523781626934,0.3809523809523809
linear,H-Optimus-0,lunghist700,0.01,0.6660736161492894,0.3876750427273075,0.2268244160259396,0.1171510532194391,0.2531277224949722,0.3047619047619048
linear,H-Optimus-0,lunghist700,0.05,0.7020699743604201,0.1165649165649165,0.0879698381815002,0.1522690282313213,0.5037391785436416,0.923809523809524
linear,H-Optimus-0,lunghist700,0.05,0.7304540590363752,0.2269769446240034,0.0907696567932318,0.1351444455021314,0.5732779791358052,0.8
linear,H-Optimus-0,lunghist700,0.05,0.8294191592548901,0.1960952012078001,0.0899634052607335,0.147516133655478,0.3819732364233297,0.819047619047619
linear,H-Optimus-0,lunghist700,0.1,0.8139044664007928,0.3432481862872312,0.1588212436925865,0.1388164685180771,0.3615966095532535,0.5904761904761905
linear,H-Optimus-0,lunghist700,0.1,0.8192100027507571,0.267552599970953,0.1104088310103704,0.1129350872999406,0.4725988407971369,0.6095238095238096
linear,H-Optimus-0,lunghist700,0.1,0.8410790747666239,0.3449598021026592,0.1887938943548299,0.1238767957395784,0.3500364239741476,0.4380952380952381
linear,H-Optimus-0,lunghist700,0.25,0.904350437417877,0.461225629439267,0.2379924468300099,0.1415547962013269,0.3039271916327439,0.3619047619047619
linear,H-Optimus-0,lunghist700,0.25,0.928533695479354,0.4856742409942483,0.2645364230813861,0.1695252712378191,0.3033972795466447,0.4095238095238095
linear,H-Optimus-0,lunghist700,0.25,0.9291266794040922,0.5448237714971623,0.2974462541931463,0.1369908340969798,0.281322248445176,0.3333333333333333
linear,H-Optimus-0,lunghist700,0.5,0.93475423073371,0.5998708010335917,0.3055823774542637,0.1371876708827843,0.3239161632454667,0.2857142857142857
linear,H-Optimus-0,lunghist700,0.5,0.9460640089722686,0.6673525826763196,0.3443177856456296,0.1748352758890214,0.3010557557463558,0.3142857142857143
linear,H-Optimus-0,lunghist700,0.5,0.9420099965546116,0.628426182346698,0.3171598287611623,0.1159544251801266,0.3339106643303062,0.2761904761904762
linear,H-Optimus-0,lunghist700,1.0,0.9637720379268856,0.7366257873884082,0.3144088020647313,0.0877905262151153,0.3724476592753282,0.2666666666666666
linear,H-Optimus-0,lunghist700,1.0,0.9637720379268856,0.7366257873884082,0.3144088020647313,0.0877905262151153,0.3724476592753282,0.2666666666666666
linear,H-Optimus-0,lunghist700,1.0,0.9637720379268856,0.7366257873884082,0.3144088020647313,0.0877905262151153,0.3724476592753282,0.2666666666666666
linear,H-Optimus-0,mhist,0.01,0.7473842967765171,0.3870765370138017,0.1508161805430574,0.10424731107082,2.200182693901568,1.0
linear,H-Optimus-0,mhist,0.01,0.64039258058707,0.3870765370138017,0.1021182319210263,0.0993389957336024,2.241294102567968,1.0
linear,H-Optimus-0,mhist,0.01,0.7159013146047181,0.3870765370138017,0.1430113597560148,0.1342378656091374,2.1705576093746823,1.0
linear,H-Optimus-0,mhist,0.05,0.8292499549792905,0.3870765370138017,0.1833946857069833,0.1510278429318257,1.6742921035999483,1.0
linear,H-Optimus-0,mhist,0.05,0.7338825859895554,0.4180193596425912,0.1117539448346853,0.1225082559814015,1.7242053591066755,0.985670419651996
linear,H-Optimus-0,mhist,0.05,0.7407482441923284,0.3870765370138017,0.1220748963647786,0.1222054303638701,1.8327710160762007,1.0
linear,H-Optimus-0,mhist,0.1,0.8293309922564379,0.4757713190673906,0.1304333786633388,0.1207150178424146,1.535390888285214,0.95496417604913
linear,H-Optimus-0,mhist,0.1,0.7861201152530164,0.436046974522293,0.1191756612230556,0.1233307234502878,1.5743045823873296,0.9754350051177072
linear,H-Optimus-0,mhist,0.1,0.8202818296416353,0.4307536415452818,0.1290520657199918,0.1367589586269519,1.5295856919261974,0.984646878198567
linear,H-Optimus-0,mhist,0.25,0.8588870880605078,0.6815681059657905,0.1219278045136538,0.1018814035203777,1.3700973199055992,0.8116683725690891
linear,H-Optimus-0,mhist,0.25,0.8376283090221501,0.6471220846471951,0.0978740727108217,0.0931114999051475,1.380245888323986,0.8433981576253838
linear,H-Optimus-0,mhist,0.25,0.8381730596074195,0.6497637282059638,0.1024121612649633,0.0979725951473272,1.337016950007934,0.8464687819856704
linear,H-Optimus-0,mhist,0.5,0.8658652980370971,0.7397148289667204,0.101847687258982,0.0724533309602367,1.3747853903402638,0.7410440122824974
linear,H-Optimus-0,mhist,0.5,0.8663830361966504,0.7401737736570794,0.08930859239786,0.0649219144240529,1.3459561686619637,0.7389969293756398
linear,H-Optimus-0,mhist,0.5,0.8695344858634971,0.736351257674787,0.1006824860694697,0.0794077820396495,1.320619757994506,0.7604912998976459
linear,H-Optimus-0,mhist,1.0,0.8848370250315145,0.7730169266511782,0.0842599051562464,0.0571224700794059,1.3543623242927207,0.7093142272262026
linear,H-Optimus-0,mhist,1.0,0.8848370250315145,0.7730169266511782,0.0842599051562464,0.0571224700794059,1.3543623242927207,0.7093142272262026
linear,H-Optimus-0,mhist,1.0,0.8848370250315145,0.7730169266511782,0.0842599051562464,0.0571224700794059,1.3543623242927207,0.7093142272262026
linear,UNI,lunghist700,0.01,0.6680259617412434,0.3199271627843056,0.2129036097808011,0.1068054490487016,0.1454175282268426,0.2761904761904762
linear,UNI,lunghist700,0.01,0.7002336335149476,0.3106250558134538,0.181161012771721,0.0727815191932618,0.1000052749944835,0.219047619047619
