dataset,fraction,n_models,spearman,kendall,ci_lo,ci_hi
PCam,0.01,8,-0.5714285714285715,-0.4999999999999999,-1.0,0.25925925925925924
PCam,0.05,8,-0.04761904761904763,0.0,-0.8227848101265823,0.7468354430379749
PCam,0.1,8,0.5952380952380953,0.42857142857142855,-0.19999999999999998,0.9259259259259259
PCam,0.25,8,0.8095238095238096,0.5714285714285714,0.24050632911392406,0.9746835443037977
PCam,0.5,8,0.8333333333333335,0.6428571428571428,0.3424657534246575,1.0
PCam,1.0,8,0.7380952380952381,0.5714285714285714,0.08860759493670887,1.0
BRACS,0.01,8,-0.523809523809524,-0.42857142857142855,-1.0,0.2842296634534079
BRACS,0.05,8,0.7380952380952381,0.6428571428571428,-0.07500000000000001,1.0
BRACS,0.1,8,0.7619047619047621,0.5714285714285714,0.06172839506172839,0.9999999999999998
BRACS,0.25,8,0.04761904761904763,-0.07142857142857142,-1.0,0.8356164383561643
BRACS,0.5,8,-0.7619047619047621,-0.7142857142857142,-1.0,0.06329113924050635
BRACS,1.0,8,-0.023809523809523815,0.0,-0.9182033719704953,0.9230769230769231
CRC,0.01,8,0.6428571428571429,0.4999999999999999,-0.06329113924050635,1.0
CRC,0.05,8,0.8333333333333335,0.6428571428571428,0.24050632911392406,1.0
CRC,0.1,8,0.9047619047619048,0.7857142857142856,0.5379206730769232,1.0
CRC,0.25,8,0.5714285714285715,0.2857142857142857,-0.26315789473684215,0.829099804305284
CRC,0.5,8,0.9761904761904763,0.9285714285714285,0.7297297297297297,1.0
CRC,1.0,8,0.7142857142857144,0.5714285714285714,-0.06329113924050635,1.0
MHIST,0.01,8,-0.7857142857142858,-0.6428571428571428,-1.0,-0.13416158774808468
MHIST,0.05,8,-0.261904761904762,-0.14285714285714285,-0.9230769230769231,0.8518518518518517
MHIST,0.1,8,-0.38095238095238104,-0.2857142857142857,-0.9259259259259259,0.5443037974683544
MHIST,0.25,8,-0.09523809523809526,-0.07142857142857142,-0.8232188065099457,0.7218571180856601
MHIST,0.5,8,0.5476190476190477,0.21428571428571427,-0.26315789473684215,0.7777777777777778
MHIST,1.0,8,0.6666666666666669,0.42857142857142855,0.06172839506172839,0.973684210526316
LungHist700,0.01,8,-0.7142857142857144,-0.4999999999999999,-1.0,0.11111111111111109
LungHist700,0.05,8,0.38095238095238104,0.21428571428571427,-0.6157497565725414,0.9230769230769231
LungHist700,0.1,8,0.0,0.0,-0.8356164383561643,0.8424089068825914
LungHist700,0.25,8,0.7380952380952381,0.5714285714285714,0.1358024691358025,1.0
LungHist700,0.5,8,0.8571428571428572,0.7142857142857142,0.31635165597364323,1.0
LungHist700,1.0,8,0.7380952380952381,0.5714285714285714,0.03523592085235954,1.0
SPIDER-Breast,0.01,8,0.523809523809524,0.3571428571428571,-0.4074074074074074,0.9746835443037977
SPIDER-Breast,0.05,8,0.6904761904761906,0.42857142857142855,-0.26315789473684215,0.9746835443037977
SPIDER-Breast,0.1,8,0.5714285714285715,0.3571428571428571,-0.23501328332551955,0.9230769230769231
SPIDER-Breast,0.25,8,0.5952380952380953,0.42857142857142855,-0.2328767123287671,1.0
SPIDER-Breast,0.5,8,0.4047619047619048,0.3571428571428571,-0.3150684931506849,1.0
SPIDER-Breast,1.0,8,0.261904761904762,0.21428571428571427,-0.518987341772152,0.9230769230769231
