model,dataset,fraction,mean,std,min,max
CLIP,BRACS,0.01,0.692657496489153,0.03452590403308339,0.6584071093220386,0.7274524745501383
CLIP,BRACS,0.05,0.7451840996137197,0.0090004075172217,0.7351810671160953,0.7526273040315378
CLIP,BRACS,0.1,0.768069999723738,0.00907976936161353,0.7575907598496107,0.7735948571153378
CLIP,BRACS,0.25,0.7854897065307038,0.008380649066505038,0.7775493994197122,0.79425036329706
CLIP,BRACS,0.5,0.7984852795990708,0.004513570657012851,0.7941069656291848,0.8031229249261697
CLIP,BRACS,1.0,0.8137754803415936,0.0,0.8137754803415936,0.8137754803415936
CLIP,CRC,0.01,0.9778509391345048,0.0007875119552299989,0.9769671720070304,0.9784782730364106
CLIP,CRC,0.05,0.9892657163187518,0.00019500177871694071,0.9890491860665996,0.9894274761280212
CLIP,CRC,0.1,0.9924095809083866,0.000267108203598795,0.9921038229825332,0.9925975434930354
CLIP,CRC,0.25,0.9953330472645159,3.8195090331660943e-05,0.9953013493952731,0.9953754536602272
CLIP,CRC,0.5,0.9966694049915619,7.417965368938655e-05,0.9965986264178454,0.996746572456318
CLIP,CRC,1.0,0.9976336102290294,0.0,0.9976336102290294,0.9976336102290294
CLIP,LungHist700,0.01,0.5935957686867618,0.02683553851992011,0.5666983609416967,0.6203690070765261
CLIP,LungHist700,0.05,0.7167410363061612,0.05783984246642788,0.6780073336646844,0.7832271255908398
CLIP,LungHist700,0.1,0.7837765167093155,0.014732661717652881,0.7678545703413722,0.7969259423773182
CLIP,LungHist700,0.25,0.8175488703439499,0.020858975467266644,0.8013518522245652,0.841085621226281
CLIP,LungHist700,0.5,0.8238248850770452,0.013762978666695009,0.8080083166224175,0.8330735810022923
CLIP,LungHist700,1.0,0.8354478917641995,0.0,0.8354478917641995,0.8354478917641995
CLIP,MHIST,0.01,0.6378714208535926,0.047210285439729945,0.604367008824059,0.6918647577885827
CLIP,MHIST,0.05,0.7678402064949877,0.02614960793000149,0.7376598235188188,0.7837430217900234
CLIP,MHIST,0.1,0.794968185365268,0.008111118162596688,0.7895641995317847,0.8042949756888169
CLIP,MHIST,0.25,0.8244387418212379,0.006147578023203035,0.8181973707905638,0.8304880244912661
CLIP,MHIST,0.5,0.8366198451287591,0.006512442877668538,0.8294390419593012,0.8421438861876462
CLIP,MHIST,1.0,0.8535251215559155,0.0,0.8535251215559156,0.8535251215559156
CLIP,PCam,0.01,0.8808840606236917,0.0014775543658014294,0.8792610357842996,0.8821511053495265
CLIP,PCam,0.05,0.9001593407534351,0.0013839284170936025,0.8987788373237962,0.9015466689161464
CLIP,PCam,0.1,0.9026683006339274,0.0005558842080147052,0.9021394968212968,0.9032477932391384
CLIP,PCam,0.25,0.9117764508117466,0.0006973569754393171,0.9109995537958226,0.9123482842187058
CLIP,PCam,0.5,0.914129171988602,0.0009279908924836717,0.913174818253391,0.9150283367797304
CLIP,PCam,1.0,0.9165845808112788,0.0,0.9165845808112788,0.9165845808112788
CLIP,SPIDER-Breast,0.01,0.8895534250114521,0.005722193122370054,0.8841062255462238,0.8955157756791046
CLIP,SPIDER-Breast,0.05,0.9241040602027816,0.0014286146354837144,0.9228029607587688,0.925632843922257
CLIP,SPIDER-Breast,0.1,0.9361118800433226,0.0010278835348298495,0.9351641359217656,0.9372045253834328
CLIP,SPIDER-Breast,0.25,0.949079599973908,0.0005849250510229987,0.948570944084974,0.9497187515212164
CLIP,SPIDER-Breast,0.5,0.957221580126265,0.00047190562676036095,0.9567660875527312,0.9577083434147128
CLIP,SPIDER-Breast,1.0,0.964099551574733,0.0,0.964099551574733,0.964099551574733
CONCH,BRACS,0.01,0.8228733676688282,0.021109726941773706,0.8033214267138716,0.8452553595339873
CONCH,BRACS,0.05,0.8733554055338645,0.008155432780252667,0.8647321338652988,0.8809443074743407
CONCH,BRACS,0.1,0.8854227171060987,0.002659252232052059,0.8829577502710163,0.888240942088376
CONCH,BRACS,0.25,0.8955076003414884,0.0020891280240934464,0.8932405806816285,0.8973551986095051
CONCH,BRACS,0.5,0.9013650345497082,0.0008477906874701854,0.9003986012790619,0.9019833589190888
CONCH,BRACS,1.0,0.9046904324226631,0.0,0.9046904324226632,0.9046904324226632
CONCH,CRC,0.01,0.9981233307190734,8.121045537737176e-05,0.998046966323874,0.9982086456804576
CONCH,CRC,0.05,0.998732770776923,3.9851132903222493e-05,0.9986966820758444,0.998775539953741
CONCH,CRC,0.1,0.9989266883888851,5.236009282139936e-05,0.9988665513978846,0.998962163921958
CONCH,CRC,0.25,0.9991411443761807,1.0070677513682843e-05,0.9991334873189937,0.9991525521957708
CONCH,CRC,0.5,0.9993184120077365,1.4738260149443017e-05,0.9993023207617304,0.9993312555640146
CONCH,CRC,1.0,0.9994136787146107,0.0,0.9994136787146106,0.9994136787146106
CONCH,LungHist700,0.01,0.872882254934691,0.022011864416335857,0.8481885209837342,0.8904432184524934
CONCH,LungHist700,0.05,0.92141144144803,0.015897220678419425,0.903348499662326,0.9332747361053614
CONCH,LungHist700,0.1,0.9323496096378457,0.005562584344339365,0.9269447716052984,0.9380575467407954
CONCH,LungHist700,0.25,0.9494319415615903,0.003663499397272147,0.9469047056430768,0.9536334221440724
CONCH,LungHist700,0.5,0.9604421304314342,0.0026186034829794986,0.9583260318525092,0.9633706554102004
CONCH,LungHist700,1.0,0.971386775329594,0.0,0.971386775329594,0.971386775329594
CONCH,MHIST,0.01,0.638273605858695,0.04781742649861104,0.6089951377633711,0.6934539888348641
CONCH,MHIST,0.05,0.7378053904796206,0.03901455966575418,0.7020349360705924,0.7794075274626328
CONCH,MHIST,0.1,0.7870760549852932,0.020533301699832723,0.7694174320187286,0.8096074194129299
CONCH,MHIST,0.25,0.8184960081637552,0.005711735976076645,0.8144876643255897,0.825036016567621
CONCH,MHIST,0.5,0.8359370310342759,0.003287480934020136,0.8321808031694581,0.838290113452188
CONCH,MHIST,1.0,0.8509814514676751,0.0,0.8509814514676751,0.8509814514676751
CONCH,PCam,0.01,0.9551076869180176,0.0016089498212441898,0.9532504406171723,0.9560775006107892
CONCH,PCam,0.05,0.959213317687757,0.0013756188007849894,0.9576468092377992,0.9602243119887685
CONCH,PCam,0.1,0.9598661575470432,0.0010855630140290933,0.9591148160272316,0.9611107710541328
CONCH,PCam,0.25,0.963327850661171,0.0009080063022563221,0.962505613128748,0.9643023693964484
CONCH,PCam,0.5,0.9651546836864681,0.000450925087964136,0.964730420231039,0.9656282228074332
CONCH,PCam,1.0,0.9657203306268759,0.0,0.965720330626876,0.965720330626876
CONCH,SPIDER-Breast,0.01,0.9657586850230108,0.0008486628186955258,0.9649463453577088,0.9666395197700688
CONCH,SPIDER-Breast,0.05,0.9780313967967066,0.000458645478660504,0.9776986130858452,0.9785545756003776
CONCH,SPIDER-Breast,0.1,0.9817323644222663,0.00035806320097768793,0.981357490089557,0.9820708352997626
CONCH,SPIDER-Breast,0.25,0.984986710222968,7.256202538579527e-05,0.9849036526970696,0.985037795819693
CONCH,SPIDER-Breast,0.5,0.9869197083573639,0.00013440178260392055,0.986789791241404,0.9870581855959808
CONCH,SPIDER-Breast,1.0,0.9883801724238772,0.0,0.9883801724238772,0.9883801724238772
GigaPath,BRACS,0.01,0.7484708350915379,0.024157685762410834,0.7262489825257087,0.7741843547332466
GigaPath,BRACS,0.05,0.8369912232549149,0.010917515810838632,0.8286769244165944,0.8493548626424013
GigaPath,BRACS,0.1,0.8582384208518695,0.008322246893375738,0.8509058233103592,0.8672838044262859
GigaPath,BRACS,0.25,0.8804097839945064,0.004526184577313078,0.8770174469284674,0.8855491173145628
GigaPath,BRACS,0.5,0.8911053213923005,0.0022336589619433244,0.8885304463535636,0.8925221662508608
GigaPath,BRACS,1.0,0.8982040556571903,0.0,0.8982040556571903,0.8982040556571903
GigaPath,CRC,0.01,0.9992842578903988,7.331726252052478e-05,0.9992411237469958,0.999368912244798
GigaPath,CRC,0.05,0.9995267227820163,3.5464679562412105e-05,0.9994859650517636,0.9995505438942218
GigaPath,CRC,0.1,0.9996199062946444,3.412369713681304e-05,0.9995958209136035,0.999658955419979
GigaPath,CRC,0.25,0.9997821786064596,2.163933715457439e-05,0.999757675183198,0.99979866677874
GigaPath,CRC,0.5,0.9998558845190169,1.0352283455572931e-05,0.9998453027909564,0.9998659909874936
GigaPath,CRC,1.0,0.9999000489102977,0.0,0.9999000489102976,0.9999000489102976
GigaPath,LungHist700,0.01,0.6552185811632839,0.03689087056732512,0.6161440051977788,0.6894466644292099
GigaPath,LungHist700,0.05,0.7713094078459294,0.05156117804205415,0.7344938715773056,0.8302389886004171
GigaPath,LungHist700,0.1,0.8372409155212354,0.010353739674318827,0.8264188718394152,0.8470522161209454
GigaPath,LungHist700,0.25,0.9111310261215273,0.02362445426301581,0.8860477271913609,0.9329590056103744
GigaPath,LungHist700,0.5,0.9374710036463222,0.011723977730509726,0.925391472949805,0.9488037225594074
GigaPath,LungHist700,1.0,0.96452289514029,0.0,0.96452289514029,0.96452289514029
GigaPath,MHIST,0.01,0.6696305300438201,0.012520608450210333,0.6579866738699801,0.6828741220961643
GigaPath,MHIST,0.05,0.7945359865538147,0.02892319046382493,0.7764631730596074,0.8278948316225463
GigaPath,MHIST,0.1,0.8362776877363588,0.011013940026456382,0.8240815775256618,0.8454979290473617
GigaPath,MHIST,0.25,0.8528438081517499,0.010953198453678495,0.8461147127678732,0.8654826220061229
GigaPath,MHIST,0.5,0.8679572603397564,0.0010345787782966819,0.8671393841166938,0.8691202953358546
GigaPath,MHIST,1.0,0.8868359445344859,0.0,0.8868359445344859,0.8868359445344859
GigaPath,PCam,0.01,0.9815769149509649,0.0007157705794398737,0.9808170127124848,0.9822383602324114
GigaPath,PCam,0.05,0.9842018605243087,0.0003025170944297012,0.9838811092457712,0.9844820508346726
GigaPath,PCam,0.1,0.9837883085222064,0.00042935125944826443,0.9832995428952488,0.9841046192538976
GigaPath,PCam,0.25,0.9828672638553974,0.0003489706681071859,0.9825680373081334,0.9832506037476644
GigaPath,PCam,0.5,0.981273523528387,0.0013917222831938748,0.980036616406568,0.982780479476763
GigaPath,PCam,1.0,0.9799245745550996,0.0,0.9799245745550996,0.9799245745550996
GigaPath,SPIDER-Breast,0.01,0.9866319502197977,0.00030140402003207557,0.9862849232312868,0.9868283456987847
GigaPath,SPIDER-Breast,0.05,0.9926473867375661,4.452755288426828e-05,0.9925971318684972,0.9926819236921208
GigaPath,SPIDER-Breast,0.1,0.9936328976928032,0.00013344834979235482,0.9935342605932694,0.9937847418686788
GigaPath,SPIDER-Breast,0.25,0.9944494109858436,4.388881239987913e-05,0.994401650595688,0.994487968943115
GigaPath,SPIDER-Breast,0.5,0.9946296857928907,1.2660291013089929e-05,0.9946163098544374,0.9946414822033088
GigaPath,SPIDER-Breast,1.0,0.9948218618972472,0.0,0.9948218618972472,0.9948218618972472
H-Optimus-0,BRACS,0.01,0.746102606055843,0.016039402047454507,0.7298470295482282,0.7619167193316423
H-Optimus-0,BRACS,0.05,0.8284092519935039,0.010828815402137128,0.8201759132898064,0.8406759117352985
H-Optimus-0,BRACS,0.1,0.8520697230214633,0.009280257228444028,0.8428320151236592,0.8613919522288604
H-Optimus-0,BRACS,0.25,0.8749332893426653,0.003715982960879364,0.871520489768511,0.8788920498170071
H-Optimus-0,BRACS,0.5,0.8888329017825662,0.0028531203915847453,0.8860595859815604,0.8917596361648698
H-Optimus-0,BRACS,1.0,0.8956033932491522,0.0,0.8956033932491521,0.8956033932491521
H-Optimus-0,CRC,0.01,0.9994320475219213,0.00011213921682487884,0.9993634051776276,0.9995614548412058
H-Optimus-0,CRC,0.05,0.9996554818040555,2.6475963576122975e-05,0.9996307327097134,0.9996833994652716
H-Optimus-0,CRC,0.1,0.9997250585229436,1.6527046880765006e-05,0.9997138946408664,0.9997440445335628
H-Optimus-0,CRC,0.25,0.9998582704471026,3.7521655449298985e-05,0.9998266718487392,0.9998997411518508
H-Optimus-0,CRC,0.5,0.9999254287984011,1.416901267690344e-05,0.9999097409576716,0.9999372951135964
H-Optimus-0,CRC,1.0,0.999951537035037,0.0,0.999951537035037,0.999951537035037
H-Optimus-0,LungHist700,0.01,0.6407132246130499,0.02883121791951822,0.6093547785904437,0.6660736161492894
H-Optimus-0,LungHist700,0.05,0.7539810642172284,0.06685502002771668,0.7020699743604201,0.8294191592548901
H-Optimus-0,LungHist700,0.1,0.8247311813060579,0.014404075619029122,0.8139044664007928,0.8410790747666239
H-Optimus-0,LungHist700,0.25,0.9206702707671077,0.014136499845921852,0.904350437417877,0.9291266794040922
H-Optimus-0,LungHist700,0.5,0.9409427454201967,0.00572992492876438,0.93475423073371,0.9460640089722686
H-Optimus-0,LungHist700,1.0,0.9637720379268856,0.0,0.9637720379268856,0.9637720379268856
H-Optimus-0,MHIST,0.01,0.7012260639894351,0.0549848076177122,0.64039258058707,0.7473842967765171
H-Optimus-0,MHIST,0.05,0.7679602617203914,0.05318932402716529,0.7338825859895554,0.8292499549792905
H-Optimus-0,MHIST,0.1,0.8119109790503632,0.02278921515908911,0.7861201152530164,0.8293309922564379
H-Optimus-0,MHIST,0.25,0.8448961522300258,0.012119566921286344,0.8376283090221501,0.8588870880605078
H-Optimus-0,MHIST,0.5,0.8672609400324148,0.0019858930447000044,0.8658652980370971,0.8695344858634971
H-Optimus-0,MHIST,1.0,0.8848370250315144,0.0,0.8848370250315145,0.8848370250315145
H-Optimus-0,PCam,0.01,0.9822110116295749,0.0005955939246389428,0.981848370695748,0.9828983961121046
H-Optimus-0,PCam,0.05,0.9848634622679762,0.0006620922180460465,0.9842505500773971,0.9855656709250727
H-Optimus-0,PCam,0.1,0.985261808874068,0.0003446565853489736,0.98494020574566,0.9856256294833714
H-Optimus-0,PCam,0.25,0.9840037507918371,0.0005568216116891166,0.98357896207038,0.9846341358388688
H-Optimus-0,PCam,0.5,0.9843411094175566,0.0008613208295899312,0.983388234622864,0.985064317539899
H-Optimus-0,PCam,1.0,0.9821887579830332,0.0,0.9821887579830332,0.9821887579830332
H-Optimus-0,SPIDER-Breast,0.01,0.9910003163773702,0.00028361889218377734,0.9906732680507514,0.9911786466220468
H-Optimus-0,SPIDER-Breast,0.05,0.9943629307595131,4.186461084984841e-05,0.9943156095686764,0.9943951455536052
H-Optimus-0,SPIDER-Breast,0.1,0.9949721186274495,0.00018531188496300664,0.9947595390640892,0.99509957304094
H-Optimus-0,SPIDER-Breast,0.25,0.9954586378021889,2.8640674353730626e-05,0.9954291927869642,0.9954863999239156
H-Optimus-0,SPIDER-Breast,0.5,0.9955851101091971,2.4962733265307427e-05,0.99555794890987,0.9956070477412532
H-Optimus-0,SPIDER-Breast,1.0,0.9956255660731292,0.0,0.9956255660731292,0.9956255660731292
MIDNIGHT,BRACS,0.01,0.748884222159965,0.02202926217720871,0.7336728752972264,0.7741463274799771
MIDNIGHT,BRACS,0.05,0.8243180804717358,0.016390789048980517,0.8120740422690625,0.8429389239984649
MIDNIGHT,BRACS,0.1,0.8508230972316739,0.010633763528022575,0.8396924357613174,0.8608782172931061
MIDNIGHT,BRACS,0.25,0.8697692886789777,0.0019281183931171067,0.8677328265483715,0.8715667867273049
MIDNIGHT,BRACS,0.5,0.881514719044072,0.001172366815155614,0.8803964321087692,0.8827345588845198
MIDNIGHT,BRACS,1.0,0.8920914360615791,0.0,0.8920914360615793,0.8920914360615793
MIDNIGHT,CRC,0.01,0.9982762474795619,0.00019328002443379848,0.9981569795150176,0.9984992477139188
MIDNIGHT,CRC,0.05,0.9988441070248886,4.8055007522356876e-05,0.9988052940738212,0.9988978566201124
MIDNIGHT,CRC,0.1,0.9991079450596366,5.0795992410470964e-05,0.999066777958556,0.9991647112743468
MIDNIGHT,CRC,0.25,0.9994158380393111,5.5848991630847136e-05,0.9993576644658276,0.9994690284850553
MIDNIGHT,CRC,0.5,0.9995895422033597,7.880385060907734e-06,0.999582771523787,0.9995981924165824
MIDNIGHT,CRC,1.0,0.9996967099917168,0.0,0.9996967099917168,0.9996967099917168
MIDNIGHT,LungHist700,0.01,0.6970259101823251,0.08445939019458715,0.6034945360102209,0.767714392384122
