probe,model,dataset,fraction,seed,auroc,f1_macro,ece_fixed,ece_scaled_fixed,temperature,degeneracy_share
linear,CLIP,BRACS,0.01,42,0.6584071093220386,0.0343915343915343,0.0744083599294561,0.020674796869456,4.478364803233118,0.9982456140350876
linear,CLIP,BRACS,0.01,123,0.692112905595282,0.0965779532456194,0.0378337319462098,0.0051742205795689,2.5953204946681185,0.8736842105263158
linear,CLIP,BRACS,0.01,456,0.7274524745501383,0.0961109670728545,0.0308187521751312,0.0129172195576474,2.4595905507038927,0.8789473684210526
linear,CLIP,BRACS,0.05,42,0.7477439276935263,0.2720487132037658,0.1360535524440107,0.0960326332930404,0.6747738720972464,0.3456140350877193
linear,CLIP,BRACS,0.05,123,0.7351810671160953,0.2720412858687823,0.1463481277093129,0.0877554294649352,0.6742217694933229,0.3578947368421052
linear,CLIP,BRACS,0.05,456,0.7526273040315378,0.2748707198743326,0.1538098848427,0.1320157033428465,0.6469339194519826,0.3543859649122807
linear,CLIP,BRACS,0.1,42,0.7730243822062656,0.2911878893014265,0.1486109790326525,0.0894672622477185,0.5667138800589229,0.3052631578947368
linear,CLIP,BRACS,0.1,123,0.7575907598496107,0.2944525929061352,0.1376373109227795,0.0965569181707726,0.6031938735703349,0.3192982456140351
linear,CLIP,BRACS,0.1,456,0.7735948571153378,0.2935253068969523,0.1312061396541115,0.111034888806111,0.6308080776898516,0.3087719298245614
linear,CLIP,BRACS,0.25,42,0.79425036329706,0.329292360913737,0.1149924477279645,0.0650517069264638,0.6350836274950267,0.2824561403508772
linear,CLIP,BRACS,0.25,123,0.7775493994197122,0.3426826999582138,0.1200934309630578,0.0767098932560517,0.6289245301373748,0.2684210526315789
linear,CLIP,BRACS,0.25,456,0.7846693568753393,0.3335618696212344,0.1202809171097925,0.0744960616970442,0.6463768839113341,0.2894736842105263
linear,CLIP,BRACS,0.5,42,0.8031229249261697,0.3879333445552476,0.1153152380666368,0.0480735392515911,0.6854345202180275,0.2684210526315789
linear,CLIP,BRACS,0.5,123,0.7982259482418578,0.3895131766221281,0.0990204993169961,0.0512138013779026,0.6908943519468185,0.2684210526315789
linear,CLIP,BRACS,0.5,456,0.7941069656291848,0.3871026255818882,0.103259026159406,0.0352801546555708,0.7017307105102364,0.2649122807017544
linear,CLIP,BRACS,1.0,42,0.8137754803415936,0.4334848518095503,0.0870837047827205,0.0179655302594043,0.742487699344127,0.2456140350877192
linear,CLIP,BRACS,1.0,123,0.8137754803415936,0.4334848518095503,0.0870837047827205,0.0179655302594043,0.742487699344127,0.2456140350877192
linear,CLIP,BRACS,1.0,456,0.8137754803415936,0.4334848518095503,0.0870837047827205,0.0179655302594043,0.742487699344127,0.2456140350877192
linear,CLIP,CRC,0.01,42,0.9781073723600736,0.8107346495337443,0.3688654672100533,0.0096876194133542,0.2935223594238346,0.1999333333333333
linear,CLIP,CRC,0.01,123,0.9784782730364106,0.8125272619205758,0.3764468503293947,0.0054968006824243,0.2711493874021952,0.2028
