dataset,fraction,metric,kendall_tau,n_models,identical
PCam,0.01,auroc,0.9285714285714285,8,False
PCam,0.01,ece_scaled_fixed,0.21428571428571427,8,False
PCam,0.05,auroc,0.8571428571428571,8,False
PCam,0.05,ece_scaled_fixed,0.21428571428571427,8,False
PCam,0.1,auroc,0.9285714285714285,8,False
PCam,0.1,ece_scaled_fixed,0.3571428571428571,8,False
PCam,0.25,auroc,0.9285714285714285,8,False
PCam,0.25,ece_scaled_fixed,0.3571428571428571,8,False
PCam,0.5,auroc,0.9285714285714285,8,False
PCam,0.5,ece_scaled_fixed,0.2857142857142857,8,False
PCam,1.0,auroc,0.9285714285714285,8,False
PCam,1.0,ece_scaled_fixed,0.07142857142857142,8,False
BRACS,0.01,auroc,0.8571428571428571,8,False
BRACS,0.01,ece_scaled_fixed,0.2857142857142857,8,False
BRACS,0.05,auroc,0.9285714285714285,8,False
BRACS,0.05,ece_scaled_fixed,-0.21428571428571427,8,False
BRACS,0.1,auroc,0.8571428571428571,8,False
BRACS,0.1,ece_scaled_fixed,-0.6428571428571428,8,False
BRACS,0.25,auroc,0.9285714285714285,8,False
BRACS,0.25,ece_scaled_fixed,0.14285714285714285,8,False
BRACS,0.5,auroc,0.8571428571428571,8,False
BRACS,0.5,ece_scaled_fixed,-0.07142857142857142,8,False
BRACS,1.0,auroc,0.7142857142857142,8,False
BRACS,1.0,ece_scaled_fixed,0.4999999999999999,8,False
CRC,0.01,auroc,0.9999999999999998,8,True
CRC,0.01,ece_scaled_fixed,0.7142857142857142,8,False
CRC,0.05,auroc,0.7857142857142856,8,False
CRC,0.05,ece_scaled_fixed,0.42857142857142855,8,False
CRC,0.1,auroc,0.7857142857142856,8,False
CRC,0.1,ece_scaled_fixed,0.7857142857142856,8,False
CRC,0.25,auroc,0.9285714285714285,8,False
CRC,0.25,ece_scaled_fixed,0.42857142857142855,8,False
CRC,0.5,auroc,0.9999999999999998,8,True
CRC,0.5,ece_scaled_fixed,0.9285714285714285,8,False
CRC,1.0,auroc,0.9285714285714285,8,False
CRC,1.0,ece_scaled_fixed,0.6428571428571428,8,False
MHIST,0.01,auroc,0.7142857142857142,8,False
MHIST,0.01,ece_scaled_fixed,0.0,8,False
MHIST,0.05,auroc,0.7142857142857142,8,False
MHIST,0.05,ece_scaled_fixed,-0.07142857142857142,8,False
MHIST,0.1,auroc,0.7857142857142856,8,False
MHIST,0.1,ece_scaled_fixed,0.0,8,False
MHIST,0.25,auroc,0.7857142857142856,8,False
MHIST,0.25,ece_scaled_fixed,-0.4999999999999999,8,False
MHIST,0.5,auroc,0.8571428571428571,8,False
MHIST,0.5,ece_scaled_fixed,0.21428571428571427,8,False
MHIST,1.0,auroc,0.6428571428571428,8,False
MHIST,1.0,ece_scaled_fixed,0.6428571428571428,8,False
LungHist700,0.01,auroc,0.9999999999999998,8,True
LungHist700,0.01,ece_scaled_fixed,0.14285714285714285,8,False
LungHist700,0.05,auroc,0.7857142857142856,8,False
LungHist700,0.05,ece_scaled_fixed,0.14285714285714285,8,False
LungHist700,0.1,auroc,0.6428571428571428,8,False
LungHist700,0.1,ece_scaled_fixed,0.0,8,False
LungHist700,0.25,auroc,0.7142857142857142,8,False
LungHist700,0.25,ece_scaled_fixed,0.7857142857142856,8,False
LungHist700,0.5,auroc,0.7142857142857142,8,False
LungHist700,0.5,ece_scaled_fixed,-0.21428571428571427,8,False
LungHist700,1.0,auroc,0.7142857142857142,8,False
LungHist700,1.0,ece_scaled_fixed,0.4999999999999999,8,False
SPIDER-Breast,0.01,auroc,0.9285714285714285,8,False
SPIDER-Breast,0.01,ece_scaled_fixed,0.21428571428571427,8,False
SPIDER-Breast,0.05,auroc,0.7857142857142856,8,False
SPIDER-Breast,0.05,ece_scaled_fixed,0.7857142857142856,8,False
SPIDER-Breast,0.1,auroc,0.7857142857142856,8,False
SPIDER-Breast,0.1,ece_scaled_fixed,0.6428571428571428,8,False
SPIDER-Breast,0.25,auroc,0.9285714285714285,8,False
SPIDER-Breast,0.25,ece_scaled_fixed,0.42857142857142855,8,False
SPIDER-Breast,0.5,auroc,0.9285714285714285,8,False
SPIDER-Breast,0.5,ece_scaled_fixed,0.7142857142857142,8,False
SPIDER-Breast,1.0,auroc,0.9285714285714285,8,False
SPIDER-Breast,1.0,ece_scaled_fixed,0.5714285714285714,8,False
